"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L518","__init__","run.MNISTModule.__init__~Fn","L516","L103","/content/lightning/examples/fabric/build_your_own_trainer/run.py","8","5","27","50","0","1","0","19","20","1","0","0","0","0","3","1","0","1","19","20","3","0","0","0","0","0","0","0","0","0","0"
"L522","forward","run.MNISTModule.forward~Fn","L516","L103","/content/lightning/examples/fabric/build_your_own_trainer/run.py","29","5","30","28","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L525","training_step","run.MNISTModule.training_step~Fn","L516","L103","/content/lightning/examples/fabric/build_your_own_trainer/run.py","32","5","40","57","0","0","0","6","9","1","0","0","0","0","5","3","0","0","6","9","5","0","0","0","0","0","0","0","0","0","0"
"L529","configure_optimizers","run.MNISTModule.configure_optimizers~Fn","L516","L103","/content/lightning/examples/fabric/build_your_own_trainer/run.py","42","5","49","9","0","0","0","8","8","1","0","0","0","0","2","1","0","0","8","8","2","0","0","0","0","0","0","0","0","0","0"
"L531","validation_step","run.MNISTModule.validation_step~Fn","L516","L103","/content/lightning/examples/fabric/build_your_own_trainer/run.py","51","5","52","50","0","0","0","2","2","1","0","0","0","1","1","3","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L545","__init__","trainer.MyCustomTrainer.__init__~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","18","5","121","56","0","52","51","46","104","3","0","0","0","0","19","17","0","52","46","104","19","0","0","2","0","0","1","0","0","0","2"
"L538","fit","trainer.MyCustomTrainer.fit~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","123","5","191","32","0","21","12","35","69","12","0","0","0","7","26","5","0","21","35","69","26","0","0","1","0","0","1","1","0","0","0"
"L570","train_loop","trainer.MyCustomTrainer.train_loop~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","193","5","259","46","0","22","13","33","67","8","0","0","0","4","22","6","0","22","33","67","22","0","0","1","0","0","0","0","0","0","1"
"L572","val_loop","trainer.MyCustomTrainer.val_loop~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","261","5","321","36","0","14","9","36","61","9","0","0","0","2","25","4","0","14","36","61","25","0","0","0","0","0","0","0","0","0","0"
"L591","training_step","trainer.MyCustomTrainer.training_step~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","323","5","344","19","0","10","9","8","22","2","0","0","0","0","7","4","0","10","8","22","7","0","0","0","0","0","0","0","0","0","0"
"L574","step_scheduler","trainer.MyCustomTrainer.step_scheduler~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","346","5","397","68","0","15","10","30","52","9","0","0","0","0","20","5","0","15","30","52","20","0","0","0","0","0","0","0","0","0","0"
"L613","should_validate","trainer.MyCustomTrainer.should_validate~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","399","5","402","66","0","1","1","3","4","1","0","0","0","0","1","1","0","1","3","4","1","0","0","0","0","0","0","0","0","0","0"
"L593","progbar_wrapper","trainer.MyCustomTrainer.progbar_wrapper~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","404","5","414","23","0","7","7","4","11","2","0","0","0","0","3","4","0","7","4","11","3","0","0","0","0","0","0","0","0","0","0"
"L576","load","trainer.MyCustomTrainer.load~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","416","5","432","72","0","7","7","8","17","3","0","0","0","0","7","3","0","7","8","17","7","0","0","0","0","0","0","0","0","0","0"
"L578","save","trainer.MyCustomTrainer.save~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","434","5","446","106","0","6","6","5","13","2","0","0","0","0","4","2","0","6","5","13","4","0","0","0","0","0","0","0","0","0","0"
"L580","get_latest_checkpoint","trainer.MyCustomTrainer.get_latest_checkpoint~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","448","5","464","54","0","6","6","8","17","3","0","0","0","0","6","1","0","6","8","17","6","0","0","0","0","0","0","0","0","0","0"
"L582","_parse_optimizers_schedulers","trainer.MyCustomTrainer._parse_optimizers_schedulers~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","466","5","519","25","0","14","7","32","54","10","0","0","0","0","20","2","0","14","32","54","20","0","0","0","0","0","1","0","0","0","0"
"L595","_format_iterable","trainer.MyCustomTrainer._format_iterable~Fn","L513","L103","/content/lightning/examples/fabric/build_your_own_trainer/trainer.py","521","5","543","53","0","8","8","14","23","7","0","0","0","0","10","3","0","8","14","23","10","0","0","0","0","0","0","0","0","0","0"
"L667","__init__","train_fabric.Generator.__init__~Fn","L658","L103","/content/lightning/examples/fabric/dcgan/train_fabric.py","208","5","231","9","0","5","0","18","24","1","0","0","0","0","2","1","0","5","18","24","2","0","0","0","0","0","0","0","0","0","0"
"L669","forward","train_fabric.Generator.forward~Fn","L658","L103","/content/lightning/examples/fabric/dcgan/train_fabric.py","233","5","234","31","0","1","0","2","2","1","0","0","0","0","1","2","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L673","__init__","train_fabric.Discriminator.__init__~Fn","L661","L103","/content/lightning/examples/fabric/dcgan/train_fabric.py","238","5","259","9","0","5","0","17","22","1","0","0","0","0","2","1","0","5","17","22","2","0","0","0","0","0","0","0","0","0","0"
"L675","forward","train_fabric.Discriminator.forward~Fn","L661","L103","/content/lightning/examples/fabric/dcgan/train_fabric.py","261","5","262","31","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L705","__init__","train_torch.Generator.__init__~Fn","L696","L103","/content/lightning/examples/fabric/dcgan/train_torch.py","217","5","240","9","0","5","0","18","24","1","0","0","0","0","2","1","0","5","18","24","2","0","0","0","0","0","0","0","0","0","0"
"L707","forward","train_torch.Generator.forward~Fn","L696","L103","/content/lightning/examples/fabric/dcgan/train_torch.py","242","5","243","31","0","1","0","2","2","1","0","0","0","0","1","2","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L711","__init__","train_torch.Discriminator.__init__~Fn","L699","L103","/content/lightning/examples/fabric/dcgan/train_torch.py","247","5","268","9","0","5","0","17","22","1","0","0","0","0","2","1","0","5","17","22","2","0","0","0","0","0","0","0","0","0","0"
"L713","forward","train_torch.Discriminator.forward~Fn","L699","L103","/content/lightning/examples/fabric/dcgan/train_torch.py","270","5","271","31","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L728","__init__","train_fabric.Net.__init__~Fn","L726","L103","/content/lightning/examples/fabric/image_classifier/train_fabric.py","48","5","55","37","0","0","0","8","8","1","0","0","0","0","7","1","0","0","8","8","7","0","0","0","0","0","0","0","0","0","0"
