"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L256","__init__","arguments.Arguments.__init__~Fn","L253","L103","/content/freqtrade/freqtrade/commands/arguments.py","280","5","282","52","0","0","0","3","3","1","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L261","get_parsed_arg","arguments.Arguments.get_parsed_arg~Fn","L253","L103","/content/freqtrade/freqtrade/commands/arguments.py","284","5","293","37","0","4","4","5","10","2","0","0","0","2","4","1","0","4","5","10","4","0","0","0","0","0","0","0","0","0","0"
"L264","_parse_args","arguments.Arguments._parse_args~Fn","L253","L103","/content/freqtrade/freqtrade/commands/arguments.py","295","5","322","25","0","9","3","16","28","9","0","0","0","0","13","1","0","9","16","28","13","0","0","0","0","0","0","0","0","0","0"
"L270","_build_args","arguments.Arguments._build_args~Fn","L253","L103","/content/freqtrade/freqtrade/commands/arguments.py","324","5","329","65","0","0","0","6","6","2","0","0","0","0","3","3","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0"
"L266","_build_subcommands","arguments.Arguments._build_subcommands~Fn","L253","L103","/content/freqtrade/freqtrade/commands/arguments.py","331","5","672","91","0","42","4","261","342","1","0","0","0","1","109","1","0","42","261","342","109","0","0","5","0","0","1","0","0","0","5"
"L296","__init__","cli_options.Arg.__init__~Fn","L294","L103","/content/freqtrade/freqtrade/commands/cli_options.py","38","5","40","28","0","1","0","3","3","1","0","0","0","0","2","3","0","1","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L593","__init__","configuration.Configuration.__init__~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","40","5","43","30","0","0","0","4","4","1","0","0","0","0","3","3","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L599","get_config","configuration.Configuration.get_config~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","45","5","53","26","0","4","4","4","9","2","0","0","0","1","3","1","0","4","4","9","3","0","0","0","0","0","0","0","0","0","0"
"L604","from_files","configuration.Configuration.from_files~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","55","5","69","29","0","11","10","4","15","1","0","0","0","1","2","1","0","11","4","15","2","0","0","0","0","0","0","0","0","0","0"
"L602","load_config","configuration.Configuration.load_config~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","71","5","124","21","0","10","4","25","54","4","0","0","0","10","24","1","0","10","25","54","24","0","0","0","0","0","0","0","0","0","0"
"L610","_process_logging_options","configuration.Configuration._process_logging_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","126","5","137","29","0","5","4","5","12","3","0","0","0","0","4","2","0","5","5","12","4","0","0","0","0","0","0","0","0","0","0"
"L612","_process_trading_options","configuration.Configuration._process_trading_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","139","5","153","80","0","1","0","12","15","5","0","0","0","0","10","2","0","1","12","15","10","0","0","0","0","0","0","0","0","0","0"
"L614","_process_common_options","configuration.Configuration._process_common_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","155","5","181","59","0","2","0","20","27","9","0","0","0","1","11","2","0","2","20","27","11","0","0","0","0","0","0","0","0","0","0"
"L639","_process_datadir_options","configuration.Configuration._process_datadir_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","183","5","222","13","0","7","4","27","40","9","0","0","0","1","19","2","0","7","27","40","19","0","0","0","0","0","0","0","0","0","0"
"L616","_process_optimize_options","configuration.Configuration._process_optimize_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","224","5","363","57","0","5","0","120","140","13","0","0","0","3","38","2","0","5","120","140","38","0","0","4","0","0","1","1","0","0","3"
"L618","_process_plot_options","configuration.Configuration._process_plot_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","365","5","386","57","0","0","0","22","22","1","0","0","0","1","2","2","0","0","22","22","2","0","0","0","0","0","0","0","0","0","0"
"L620","_process_data_options","configuration.Configuration._process_data_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","388","5","402","9","0","0","0","15","15","4","0","0","0","1","6","2","0","0","15","15","6","0","0","0","0","0","0","0","0","0","0"
"L622","_process_analyze_options","configuration.Configuration._process_analyze_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","404","5","422","57","0","1","0","18","19","1","0","0","0","1","2","2","0","1","18","19","2","0","0","0","0","0","0","0","0","0","0"
"L646","_args_to_config_loop","configuration.Configuration._args_to_config_loop~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","424","5","426","78","0","0","0","3","3","2","0","0","0","1","2","3","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L624","_process_runmode","configuration.Configuration._process_runmode~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","428","5","440","48","0","1","0","10","13","3","0","0","0","1","5","2","0","1","10","13","5","0","0","0","0","0","0","0","0","0","0"
"L626","_process_freqai_options","configuration.Configuration._process_freqai_options~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","442","5","451","14","0","0","0","8","10","1","0","0","0","1","3","2","0","0","8","10","3","0","0","0","0","0","0","0","0","0","0"
"L637","_args_to_config","configuration.Configuration._args_to_config~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","453","5","481","96","0","9","9","20","29","6","0","0","0","0","7","6","0","9","20","29","7","0","0","1","0","0","0","0","0","0","1"
"L628","_resolve_pairs_list","configuration.Configuration._resolve_pairs_list~Fn","L590","L103","/content/freqtrade/freqtrade/configuration/configuration.py","483","5","518","42","0","10","7","23","36","11","0","0","0","0","21","2","0","10","23","36","21","0","0","1","0","0","1","1","0","0","0"
"L787","__init__","timerange.TimeRange.__init__~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","26","5","36","33","0","0","0","11","11","1","0","0","0","0","4","5","0","0","11","11","4","0","0","0","0","0","0","0","0","0","0"
"L795","startdt","timerange.TimeRange.startdt~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","38","5","42","19","0","0","0","5","5","2","0","0","0","0","3","1","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L797","stopdt","timerange.TimeRange.stopdt~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","44","5","48","19","0","0","0","5","5","2","0","0","0","0","3","1","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L799","timerange_str","timerange.TimeRange.timerange_str~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","50","5","62","32","0","4","4","9","13","3","0","0","0","0","7","1","0","4","9","13","7","0","0","0","0","0","0","0","0","0","0"
"L802","start_fmt","timerange.TimeRange.start_fmt~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","64","5","72","18","0","3","3","6","9","2","0","0","0","0","4","1","0","3","6","9","4","0","0","0","0","0","0","0","0","0","0"
"L805","stop_fmt","timerange.TimeRange.stop_fmt~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","74","5","82","18","0","3","3","6","9","2","0","0","0","0","4","1","0","3","6","9","4","0","0","0","0","0","0","0","0","0","0"
"L808","__eq__","timerange.TimeRange.__eq__~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","84","5","91","9","0","1","1","7","8","4","0","0","0","0","1","2","0","1","7","8","1","0","0","0","0","0","0","0","0","0","0"
"L812","subtract_start","timerange.TimeRange.subtract_start~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","93","5","100","49","0","5","5","3","8","2","0","0","0","0","2","2","0","5","3","8","2","0","0","0","0","0","0","0","0","0","0"
"L816","adjust_start_if_necessary","timerange.TimeRange.adjust_start_if_necessary~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","102","5","120","35","0","10","9","9","19","4","0","0","0","0","4","4","0","10","9","19","4","0","0","0","0","0","0","0","0","0","0"
"L822","parse_timerange","timerange.TimeRange.parse_timerange~Fn","L784","L103","/content/freqtrade/freqtrade/configuration/timerange.py","122","5","180","76","0","7","5","53","59","13","0","0","0","0","29","2","0","7","53","59","29","0","0","1","0","0","1","1","0","0","0"
"L1167","__init__","dataprovider.DataProvider.__init__~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","40","5","70","60","0","0","0","27","31","1","0","0","0","0","16","5","0","0","27","31","16","0","0","0","0","0","0","0","0","0","0"
"L1175","_set_dataframe_max_index","dataprovider.DataProvider._set_dataframe_max_index~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","72","5","78","40","0","5","5","2","7","1","0","0","0","0","1","2","0","5","2","7","1","0","0","0","0","0","0","0","0","0","0"
"L1179","_set_dataframe_max_date","dataprovider.DataProvider._set_dataframe_max_date~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","80","5","86","38","0","5","5","2","7","1","0","0","0","0","1","2","0","5","2","7","1","0","0","0","0","0","0","0","0","0","0"
"L1183","_set_cached_df","dataprovider.DataProvider._set_cached_df~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","88","5","101","79","0","9","9","5","14","1","0","0","0","0","2","5","0","9","5","14","2","0","0","0","0","0","0","0","0","0","0"
"L1190","_set_producer_pairs","dataprovider.DataProvider._set_producer_pairs~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","104","5","110","55","0","6","5","2","7","1","0","0","0","0","1","3","0","6","2","7","1","0","0","0","0","0","0","0","0","0","0"
"L1195","get_producer_pairs","dataprovider.DataProvider.get_producer_pairs~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","112","5","118","66","0","5","5","2","7","1","0","0","0","0","1","2","0","5","2","7","1","0","0","0","0","0","0","0","0","0","0"
"L1199","_emit_df","dataprovider.DataProvider._emit_df~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","120","5","144","17","0","7","7","18","25","3","0","0","0","0","5","4","0","7","18","25","5","0","0","0","0","0","0","0","0","0","0"
"L1205","_replace_external_df","dataprovider.DataProvider._replace_external_df~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","146","5","170","86","0","7","7","15","25","3","0","0","0","0","6","7","0","7","15","25","6","0","0","1","0","0","1","0","0","0","1"
"L1214","_add_external_df","dataprovider.DataProvider._add_external_df~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","172","5","253","24","0","26","9","48","82","7","0","0","0","1","21","7","0","26","48","82","21","0","0","1","0","0","1","0","0","0","1"
"L1224","get_producer_df","dataprovider.DataProvider.get_producer_df~Fn","L1165","L103","/content/freqtrade/freqtrade/data/dataprovider.py","255","5","287","30","0","13","8","16","33","5","0","0","0","0","9","5","0","13","16","33","9","0","0","0","0","0","0","0","0","0","0"
