"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L206","run","agent_creator.CreateAgent.run~Fn","L200","L103","/content/MetaGPT/examples/agent_creator.py","36","5","44","24","0","1","0","5","9","1","0","0","0","1","4","3","0","1","5","9","4","0","0","0","0","0","0","0","0","0","0"
"L212","parse_code","agent_creator.CreateAgent.parse_code~Fn","L200","L103","/content/MetaGPT/examples/agent_creator.py","46","5","54","24","0","0","0","9","9","2","0","0","0","0","7","1","0","0","9","9","7","0","0","0","0","0","0","0","0","0","0"
"L221","__init__","agent_creator.AgentCreator.__init__~Fn","L216","L103","/content/MetaGPT/examples/agent_creator.py","62","5","64","39","0","0","0","3","3","1","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L226","_act","agent_creator.AgentCreator._act~Fn","L216","L103","/content/MetaGPT/examples/agent_creator.py","66","5","75","18","0","0","0","8","10","1","0","0","0","1","7","1","0","0","8","10","7","0","0","0","0","0","0","0","0","0","0"
"L260","run","build_customized_agent.SimpleWriteCode.run~Fn","L256","L103","/content/MetaGPT/examples/build_customized_agent.py","27","5","34","24","0","0","0","5","8","1","0","0","0","1","4","2","0","0","5","8","4","0","0","0","0","0","0","0","0","0","0"
"L265","parse_code","build_customized_agent.SimpleWriteCode.parse_code~Fn","L256","L103","/content/MetaGPT/examples/build_customized_agent.py","36","5","41","24","0","0","0","6","6","2","0","0","0","0","4","1","0","0","6","6","4","0","0","0","0","0","0","0","0","0","0"
"L272","run","build_customized_agent.SimpleRunCode.run~Fn","L269","L103","/content/MetaGPT/examples/build_customized_agent.py","47","5","51","26","0","0","0","5","5","1","0","0","0","0","4","2","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L281","__init__","build_customized_agent.SimpleCoder.__init__~Fn","L277","L103","/content/MetaGPT/examples/build_customized_agent.py","58","5","60","43","0","0","0","3","3","1","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L286","_act","build_customized_agent.SimpleCoder._act~Fn","L277","L103","/content/MetaGPT/examples/build_customized_agent.py","62","5","70","18","0","2","0","7","9","1","0","0","0","0","6","1","0","2","7","9","6","0","0","0","0","0","0","0","0","0","0"
"L293","__init__","build_customized_agent.RunnableCoder.__init__~Fn","L289","L103","/content/MetaGPT/examples/build_customized_agent.py","77","5","80","69","0","0","0","4","4","1","0","0","0","0","3","2","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L298","_act","build_customized_agent.RunnableCoder._act~Fn","L289","L103","/content/MetaGPT/examples/build_customized_agent.py","82","5","93","18","0","3","0","8","12","1","0","0","0","0","7","1","0","3","8","12","7","0","0","0","0","0","0","0","0","0","0"
"L313","run","build_customized_multi_agents.SimpleWriteCode.run~Fn","L309","L103","/content/MetaGPT/examples/build_customized_multi_agents.py","32","5","39","24","0","0","0","5","8","1","0","0","0","1","4","2","0","0","5","8","4","0","0","0","0","0","0","0","0","0","0"
