"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L749","__init__","get_rocm.System.__init__~Fn","L747","L103","/content/jax/build/rocm/tools/get_rocm.py","62","5","64","50","0","0","0","3","3","1","0","0","0","0","2","3","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L755","install_packages","get_rocm.System.install_packages~Fn","L747","L103","/content/jax/build/rocm/tools/get_rocm.py","66","5","79","43","0","0","0","12","14","2","0","0","0","0","7","2","0","0","12","14","7","0","0","0","0","0","0","0","0","0","0"
"L758","install_rocm","get_rocm.System.install_rocm~Fn","L747","L103","/content/jax/build/rocm/tools/get_rocm.py","81","5","82","53","0","0","0","2","2","1","0","0","0","1","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L894","abstract","Custom_Operation_for_GPUs.RmsNormFwdClass.abstract~Fn","L887","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","302","5","304","67","0","1","0","3","3","1","0","0","0","1","1","3","0","1","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L899","lowering","Custom_Operation_for_GPUs.RmsNormFwdClass.lowering~Fn","L887","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","306","5","308","62","0","0","0","3","3","1","0","0","0","1","1","4","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L905","impl","Custom_Operation_for_GPUs.RmsNormFwdClass.impl~Fn","L887","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","310","5","314","26","0","0","0","5","5","1","0","0","0","0","3","3","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L909","batcher","Custom_Operation_for_GPUs.RmsNormFwdClass.batcher~Fn","L887","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","316","5","324","81","0","0","0","8","9","1","0","0","0","1","6","3","0","0","8","9","6","0","0","0","0","0","0","0","0","0","0"
"L914","infer_sharding_from_operands","Custom_Operation_for_GPUs.RmsNormFwdClass.infer_sharding_from_operands~Fn","L887","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","326","5","339","49","0","3","0","12","14","1","0","0","0","0","8","4","0","3","12","14","8","0","0","0","0","0","0","0","0","0","0"
"L919","partition","Custom_Operation_for_GPUs.RmsNormFwdClass.partition~Fn","L887","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","341","5","360","58","0","6","0","15","20","1","0","0","0","0","10","4","0","6","15","20","10","0","0","0","0","0","0","0","0","0","0"
"L933","abstract","Custom_Operation_for_GPUs.RmsNormBwdClass.abstract~Fn","L926","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","371","5","373","74","0","1","0","3","3","1","0","0","0","1","1","5","0","1","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L940","lowering","Custom_Operation_for_GPUs.RmsNormBwdClass.lowering~Fn","L926","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","375","5","377","84","0","0","0","3","3","1","0","0","0","1","1","6","0","0","3","3","1","0","0","1","0","0","0","0","0","0","1"
"L948","impl","Custom_Operation_for_GPUs.RmsNormBwdClass.impl~Fn","L926","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","379","5","383","32","0","0","0","5","5","1","0","0","0","0","3","5","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L954","batcher","Custom_Operation_for_GPUs.RmsNormBwdClass.batcher~Fn","L926","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","385","5","394","81","0","1","0","8","10","1","0","0","0","1","6","3","0","1","8","10","6","0","0","0","0","0","0","0","0","0","0"
"L958","infer_sharding_from_operands","Custom_Operation_for_GPUs.RmsNormBwdClass.infer_sharding_from_operands~Fn","L926","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","396","5","410","68","0","2","0","14","15","1","0","0","0","0","10","4","0","2","14","15","10","0","0","0","0","0","0","0","0","0","0"
"L963","partition","Custom_Operation_for_GPUs.RmsNormBwdClass.partition~Fn","L926","L103","/content/jax/docs/Custom_Operation_for_GPUs.py","412","5","449","66","0","4","0","19","28","1","0","0","0","0","12","4","0","8","27","38","17","0","0","0","0","0","0","0","0","0","0"
"L1108","__init__","autodidax.Trace.__init__~Fn","L1105","L103","/content/jax/docs/autodidax.py","185","3","186","20","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1113","pure","autodidax.Trace.pure~Fn","L1105","L103","/content/jax/docs/autodidax.py","188","3","188","35","0","1","0","1","1","1","0","0","0","0","1","2","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1116","lift","autodidax.Trace.lift~Fn","L1105","L103","/content/jax/docs/autodidax.py","189","3","189","35","0","1","0","1","1","1","0","0","0","0","1","2","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1119","process_primitive","autodidax.Trace.process_primitive~Fn","L1105","L103","/content/jax/docs/autodidax.py","191","3","192","16","0","1","0","2","2","1","0","0","0","0","1","4","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1128","aval","autodidax.Tracer.aval~Fn","L1124","L103","/content/jax/docs/autodidax.py","219","3","221","16","0","1","0","3","3","1","0","0","0","0","1","1","0","1","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1132","full_lower","autodidax.Tracer.full_lower~Fn","L1124","L103","/content/jax/docs/autodidax.py","223","3","224","15","0","1","0","2","2","1","0","0","0","0","1","1","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1134","__neg__","autodidax.Tracer.__neg__~Fn","L1124","L103","/content/jax/docs/autodidax.py","226","3","226","48","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1136","__add__","autodidax.Tracer.__add__~Fn","L1124","L103","/content/jax/docs/autodidax.py","227","3","227","62","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1139","__radd__","autodidax.Tracer.__radd__~Fn","L1124","L103","/content/jax/docs/autodidax.py","228","3","228","64","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1142","__mul__","autodidax.Tracer.__mul__~Fn","L1124","L103","/content/jax/docs/autodidax.py","229","3","229","62","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1145","__rmul__","autodidax.Tracer.__rmul__~Fn","L1124","L103","/content/jax/docs/autodidax.py","230","3","230","64","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1148","__gt__","autodidax.Tracer.__gt__~Fn","L1124","L103","/content/jax/docs/autodidax.py","231","3","231","60","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1151","__lt__","autodidax.Tracer.__lt__~Fn","L1124","L103","/content/jax/docs/autodidax.py","232","3","232","60","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1154","__bool__","autodidax.Tracer.__bool__~Fn","L1124","L103","/content/jax/docs/autodidax.py","233","3","233","50","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1156","__nonzero__","autodidax.Tracer.__nonzero__~Fn","L1124","L103","/content/jax/docs/autodidax.py","234","3","234","56","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"L1158","__getattr__","autodidax.Tracer.__getattr__~Fn","L1124","L103","/content/jax/docs/autodidax.py","236","3","240","80","0","0","0","5","5","2","0","0","0","0","3","2","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L1168","__init__","autodidax.ShapedArray.__init__~Fn","L1163","L103","/content/jax/docs/autodidax.py","251","3","253","22","0","0","0","3","3","1","0","0","0","0","2","3","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L1174","ndim","autodidax.ShapedArray.ndim~Fn","L1163","L103","/content/jax/docs/autodidax.py","255","3","257","26","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1183","_bool","autodidax.ShapedArray._bool~Fn","L1163","L103","/content/jax/docs/autodidax.py","267","3","269","75","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1185","_nonzero","autodidax.ShapedArray._nonzero~Fn","L1163","L103","/content/jax/docs/autodidax.py","271","3","273","75","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1187","str_short","autodidax.ShapedArray.str_short~Fn","L1163","L103","/content/jax/docs/autodidax.py","275","3","276","71","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1189","__hash__","autodidax.ShapedArray.__hash__~Fn","L1163","L103","/content/jax/docs/autodidax.py","278","3","279","41","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1191","__eq__","autodidax.ShapedArray.__eq__~Fn","L1163","L103","/content/jax/docs/autodidax.py","281","3","283","68","0","0","0","3","3","3","0","0","0","0","1","2","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1194","__repr__","autodidax.ShapedArray.__repr__~Fn","L1163","L103","/content/jax/docs/autodidax.py","285","3","286","65","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1201","__init__","autodidax.ConcreteArray.__init__~Fn","L1197","L103","/content/jax/docs/autodidax.py","292","3","295","26","0","0","0","4","4","1","0","0","0","0","3","2","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L1206","_bool","autodidax.ConcreteArray._bool~Fn","L1197","L103","/content/jax/docs/autodidax.py","297","3","299","32","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1208","_nonzero","autodidax.ConcreteArray._nonzero~Fn","L1197","L103","/content/jax/docs/autodidax.py","301","3","303","32","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1230","process_primitive","autodidax.EvalTrace.process_primitive~Fn","L1226","L103","/content/jax/docs/autodidax.py","414","3","415","52","0","0","0","2","2","1","0","0","0","0","1","4","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1258","__init__","autodidax.JVPTracer.__init__~Fn","L1256","L103","/content/jax/docs/autodidax.py","491","3","494","26","0","0","0","4","4","1","0","0","0","0","3","4","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L1265","aval","autodidax.JVPTracer.aval~Fn","L1256","L103","/content/jax/docs/autodidax.py","496","3","498","32","0","0","0","3","3","1","0","0","0","1","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L1271","process_primitive","autodidax.JVPTrace.process_primitive~Fn","L1267","L103","/content/jax/docs/autodidax.py","503","3","507","77","0","0","0","5","5","1","0","0","0","2","4","4","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L1345","set_value","autodidax.Store.set_value~Fn","L1340","L103","/content/jax/docs/autodidax.py","689","3","691","18","0","0","0","3","3","1","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L1359","__call__","autodidax.Store.__call__~Fn","L1340","L103","/content/jax/docs/autodidax.py","693","3","694","19","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1420","__init__","autodidax.BatchTracer.__init__~Fn","L1418","L103","/content/jax/docs/autodidax.py","813","3","816","30","0","0","0","4","4","1","0","0","0","0","3","4","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L1427","aval","autodidax.BatchTracer.aval~Fn","L1418","L103","/content/jax/docs/autodidax.py","818","3","823","60","0","0","0","6","6","2","0","0","0","2","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0"
"L1430","full_lower","autodidax.BatchTracer.full_lower~Fn","L1418","L103","/content/jax/docs/autodidax.py","825","3","829","17","0","0","0","5","5","2","0","0","0","1","3","1","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L1436","process_primitive","autodidax.BatchTrace.process_primitive~Fn","L1432","L103","/content/jax/docs/autodidax.py","834","3","838","75","0","0","0","5","5","1","0","0","0","2","4","4","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L1441","axis_size","autodidax.BatchTrace.axis_size~Fn","L1432","L103","/content/jax/docs/autodidax.py","840","3","842","32","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
