"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L167","__init__","client.Client.__init__~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","76","5","206","48","0","15","11","109","131","19","0","0","0","5","65","11","0","15","109","131","65","0","0","5","0","0","2","1","0","0","4"
"L195","close","client.Client.close~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","208","5","210","38","0","0","0","3","3","1","0","0","0","0","2","1","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L197","_stream_heartbeat","client.Client._stream_heartbeat~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","212","5","233","22","0","0","0","22","22","6","0","0","0","0","13","1","0","0","22","22","13","0","0","0","0","0","0","0","0","0","0"
"L199","stream_messages","client.Client.stream_messages~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","235","5","294","19","0","3","0","56","60","14","0","0","0","0","35","2","0","3","56","60","35","0","0","1","0","0","1","1","0","0","0"
"L202","send_data","client.Client.send_data~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","296","5","326","23","0","0","0","20","25","5","0","0","0","0","12","4","0","0","26","31","16","0","0","0","0","0","0","0","0","0","0"
"L211","duplicate","client.Client.duplicate~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","328","5","443","21","0","33","30","84","116","16","0","0","0","0","34","10","0","33","84","116","34","0","0","4","0","0","2","1","0","0","3"
"L185","_get_space_state","client.Client._get_space_state~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","445","5","449","25","0","0","0","5","5","2","0","0","0","0","4","1","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L224","predict","client.Client.predict~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","451","5","476","18","0","15","15","11","26","1","0","0","0","2","2","5","0","15","11","26","2","0","0","0","0","0","0","0","0","0","0"
"L235","new_helper","client.Client.new_helper~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","478","5","484","9","0","0","0","7","7","1","0","0","0","0","1","2","0","0","7","7","1","0","0","0","0","0","0","0","0","0","0"
"L231","submit","client.Client.submit~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","486","5","559","18","0","20","19","38","66","6","0","0","0","3","17","6","0","20","45","74","21","0","0","1","0","0","0","0","0","0","1"
"L187","_get_api_info","client.Client._get_api_info~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","561","5","598","19","0","0","0","38","38","4","0","0","0","0","13","1","0","0","38","38","13","0","0","0","0","0","0","0","0","0","0"
"L252","view_api","client.Client.view_api~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","600","5","700","29","0","71","69","26","101","10","0","0","0","1","20","4","0","71","26","101","20","0","0","1","0","0","1","0","0","0","1"
"L260","reset_session","client.Client.reset_session~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","702","5","704","37","0","0","0","3","3","1","0","0","0","0","2","1","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L258","_render_endpoints_info","client.Client._render_endpoints_info~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","706","5","771","25","0","0","0","63","66","16","0","0","0","0","37","3","0","0","63","66","37","0","0","1","0","0","1","1","0","0","0"
"L265","__repr__","client.Client.__repr__~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","773","5","774","67","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L267","__str__","client.Client.__str__~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","776","5","777","67","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L269","_telemetry_thread","client.Client._telemetry_thread~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","779","5","792","16","0","1","0","13","14","2","0","0","0","0","4","1","0","1","13","14","4","0","0","0","0","0","0","0","0","0","0"
"L233","_infer_fn_index","client.Client._infer_fn_index~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","794","5","831","32","0","0","0","38","38","14","0","0","0","0","22","3","0","0","38","38","22","0","0","1","0","0","1","1","0","0","0"
"L274","__del__","client.Client.__del__~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","833","5","835","45","0","0","0","3","3","2","0","0","0","0","2","1","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L189","_space_name_to_src","client.Client._space_name_to_src~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","837","5","838","74","0","1","0","2","2","1","0","0","0","0","1","2","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L191","_login","client.Client._login~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","840","5","856","9","0","0","0","17","17","3","0","0","0","0","6","2","0","0","17","17","6","0","0","0","0","0","0","0","0","0","0"
"L193","_get_config","client.Client._get_config~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","858","5","898","25","0","3","0","40","41","7","0","0","0","0","17","1","0","3","40","41","17","0","0","0","0","0","0","0","0","0","0"
"L281","deploy_discord","client.Client.deploy_discord~Fn","L164","L103","/content/gradio/client/python/gradio_client/client.py","900","5","1047","18","0","10","9","124","148","26","0","0","0","0","56","6","0","10","124","148","56","0","0","5","0","0","1","1","0","0","4"
"L299","__init__","client.Endpoint.__init__~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1065","5","1089","50","0","1","0","23","25","2","0","0","0","2","14","5","0","1","23","25","14","0","0","0","0","0","0","0","0","0","0"
"L305","_get_component_type","client.Endpoint._get_component_type~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1091","5","1100","9","0","0","0","10","10","1","0","0","0","1","3","2","0","0","10","10","3","0","0","0","0","0","0","0","0","0","0"
"L307","_get_parameters_info","client.Endpoint._get_parameters_info~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1102","5","1105","19","0","0","0","4","4","2","0","0","0","0","3","1","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L313","value_is_file","client.Endpoint.value_is_file~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1107","5","1115","57","0","4","0","5","9","2","0","0","0","0","3","1","0","4","5","9","3","0","0","0","0","0","0","0","0","0","0"
"L317","__repr__","client.Endpoint.__repr__~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1117","5","1118","103","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L319","__str__","client.Endpoint.__str__~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1120","5","1121","30","0","0","0","2","2","1","0","0","0","1","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L322","make_end_to_end_fn","client.Endpoint.make_end_to_end_fn~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1123","5","1143","21","0","0","0","3","5","1","0","0","0","1","2","2","0","2","15","21","13","0","0","0","0","0","0","0","0","0","0"
"L331","make_cancel","client.Endpoint.make_cancel~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1145","5","1216","22","0","0","0","39","48","9","0","0","0","0","20","2","0","2","63","72","26","0","0","0","0","0","0","0","0","0","0"
"L329","make_predict","client.Endpoint.make_predict~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1218","5","1274","23","0","0","0","2","3","1","0","0","0","0","1","2","0","1","52","57","25","0","0","1","0","0","1","1","0","0","0"
"L340","insert_empty_state","client.Endpoint.insert_empty_state~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1276","5","1281","26","0","0","0","6","6","3","0","0","0","0","5","2","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L343","process_input_files","client.Endpoint.process_input_files~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1283","5","1292","27","0","0","0","10","10","2","0","0","0","0","5","2","0","0","10","10","5","0","0","0","0","0","0","0","0","0","0"
"L346","process_predictions","client.Endpoint.process_predictions~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1294","5","1303","26","0","3","0","7","10","3","0","0","0","0","6","2","0","3","7","10","6","0","0","0","0","0","0","0","0","0","0"
"L349","download_files","client.Endpoint.download_files~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1305","5","1313","27","0","0","0","9","9","2","0","0","0","0","5","2","0","0","9","9","5","0","0","0","0","0","0","0","0","0","0"
"L352","remove_skipped_components","client.Endpoint.remove_skipped_components~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1315","5","1322","26","0","0","0","7","8","1","0","0","0","0","2","2","0","0","7","8","2","0","0","0","0","0","0","0","0","0","0"
"L356","reduce_singleton_output","client.Endpoint.reduce_singleton_output~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1324","5","1334","23","0","0","0","11","11","3","0","0","0","0","6","2","0","0","11","11","6","0","0","0","0","0","0","0","0","0","0"
"L359","_upload_file","client.Endpoint._upload_file~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1336","5","1375","9","0","2","0","38","40","5","0","0","0","0","16","3","0","2","38","40","16","0","0","0","0","0","0","0","0","0","0"
"L363","_download_file","client.Endpoint._download_file~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1377","5","1405","34","0","0","0","26","29","3","0","0","0","0","17","2","0","0","26","29","17","0","0","0","0","0","0","0","0","0","0"
"L366","_sse_fn_v0","client.Endpoint._sse_fn_v0~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1407","5","1424","13","0","0","0","18","18","1","0","0","0","0","2","4","0","0","18","18","2","0","0","0","0","0","0","0","0","0","0"
"L371","_sse_fn_v1plus","client.Endpoint._sse_fn_v1plus~Fn","L169","L103","/content/gradio/client/python/gradio_client/client.py","1426","5","1441","9","0","0","0","16","16","1","0","0","0","0","1","4","0","0","16","16","1","0","0","0","0","0","0","0","0","0","0"
"L379","__init__","client.Job.__init__~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1456","5","1476","35","0","7","7","14","21","1","0","0","0","0","6","6","0","7","14","21","6","0","0","1","0","0","0","0","0","0","1"
"L389","__iter__","client.Job.__iter__~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1478","5","1479","19","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L391","__next__","client.Job.__next__~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1481","5","1496","33","0","0","0","15","16","6","0","0","0","0","11","1","0","0","15","16","11","0","0","0","0","0","0","0","0","0","0"
"L393","result","client.Job.result~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1498","5","1513","46","0","14","14","2","16","1","0","0","0","0","1","2","0","14","2","16","1","0","0","0","0","0","0","0","0","0","0"
"L397","outputs","client.Job.outputs~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1515","5","1539","52","0","19","19","6","25","2","0","0","0","0","4","1","0","19","6","25","4","0","0","0","0","0","0","0","0","0","0"
"L400","status","client.Job.status~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1541","5","1613","58","0","19","17","56","73","10","0","0","0","0","18","1","0","19","56","73","18","0","0","0","0","0","1","0","0","0","0"
"L403","cancel","client.Job.cancel~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1615","5","1636","35","0","14","14","8","22","3","0","0","0","0","7","1","0","14","8","22","7","0","0","0","0","0","0","0","0","0","0"
"L406","__getattr__","client.Job.__getattr__~Fn","L376","L103","/content/gradio/client/python/gradio_client/client.py","1638","5","1640","41","0","1","1","2","3","1","0","0","0","0","1","2","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L417","__init__","compatibility.EndpointV3Compatibility.__init__~Fn","L414","L103","/content/gradio/client/python/gradio_client/compatibility.py","27","5","48","28","0","2","0","20","22","6","0","0","0","2","16","5","0","2","20","22","16","0","0","0","0","0","0","0","0","0","0"
"L429","__repr__","compatibility.EndpointV3Compatibility.__repr__~Fn","L414","L103","/content/gradio/client/python/gradio_client/compatibility.py","50","5","51","103","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L431","__str__","compatibility.EndpointV3Compatibility.__str__~Fn","L414","L103","/content/gradio/client/python/gradio_client/compatibility.py","53","5","54","30","0","0","0","2","2","1","0","0","0","1","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L434","make_end_to_end_fn","compatibility.EndpointV3Compatibility.make_end_to_end_fn~Fn","L414","L103","/content/gradio/client/python/gradio_client/compatibility.py","56","5","74","21","0","0","0","3","5","1","0","0","0","1","2","2","0","2","15","19","13","0","0","0","0","0","0","0","0","0","0"
"L443","make_cancel","compatibility.EndpointV3Compatibility.make_cancel~Fn","L414","L103","/content/gradio/client/python/gradio_client/compatibility.py","76","5","77","19","0","1","0","2","2","1","0","0","0","0","1","2","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0"
