"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L127","__init__","base_classes.BaseBenchmak.__init__~Fn","L124","L103","/content/diffusers/benchmarks/base_classes.py","52","5","53","26","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L132","run_inference","base_classes.BaseBenchmak.run_inference~Fn","L124","L103","/content/diffusers/benchmarks/base_classes.py","55","5","56","33","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L135","benchmark","base_classes.BaseBenchmak.benchmark~Fn","L124","L103","/content/diffusers/benchmarks/base_classes.py","58","5","59","33","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L138","get_result_filepath","base_classes.BaseBenchmak.get_result_filepath~Fn","L124","L103","/content/diffusers/benchmarks/base_classes.py","61","5","70","23","0","0","0","10","10","1","0","0","0","0","4","2","0","0","10","10","4","0","0","0","0","0","0","0","0","0","0"
"L144","__init__","base_classes.TextToImageBenchmark.__init__~Fn","L141","L103","/content/diffusers/benchmarks/base_classes.py","76","5","95","24","0","0","0","17","20","5","0","0","0","0","15","2","0","0","17","20","15","0","0","0","0","0","0","0","0","0","0"
"L149","run_inference","base_classes.TextToImageBenchmark.run_inference~Fn","L141","L103","/content/diffusers/benchmarks/base_classes.py","97","5","102","9","0","0","0","6","6","1","0","0","0","0","1","3","0","0","6","6","1","0","0","0","0","0","0","0","0","0","0"
"L153","benchmark","base_classes.TextToImageBenchmark.benchmark~Fn","L141","L103","/content/diffusers/benchmarks/base_classes.py","104","5","121","15","0","2","0","15","18","1","0","0","0","6","12","2","0","2","15","18","12","0","0","0","0","0","0","0","0","0","0"
"L169","__init__","base_classes.TurboTextToImageBenchmark.__init__~Fn","L167","L103","/content/diffusers/benchmarks/base_classes.py","125","5","126","30","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L174","run_inference","base_classes.TurboTextToImageBenchmark.run_inference~Fn","L167","L103","/content/diffusers/benchmarks/base_classes.py","128","5","134","9","0","0","0","7","7","1","0","0","0","0","1","3","0","0","7","7","1","0","0","0","0","0","0","0","0","0","0"
"L181","__init__","base_classes.LCMLoRATextToImageBenchmark.__init__~Fn","L178","L103","/content/diffusers/benchmarks/base_classes.py","140","5","145","82","0","0","0","6","6","1","0","0","0","0","5","2","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L187","get_result_filepath","base_classes.LCMLoRATextToImageBenchmark.get_result_filepath~Fn","L178","L103","/content/diffusers/benchmarks/base_classes.py","147","5","156","23","0","0","0","10","10","1","0","0","0","0","4","2","0","0","10","10","4","0","0","0","0","0","0","0","0","0","0"
"L190","run_inference","base_classes.LCMLoRATextToImageBenchmark.run_inference~Fn","L178","L103","/content/diffusers/benchmarks/base_classes.py","158","5","164","9","0","0","0","7","7","1","0","0","0","0","1","3","0","0","7","7","1","0","0","0","0","0","0","0","0","0","0"
"L194","benchmark","base_classes.LCMLoRATextToImageBenchmark.benchmark~Fn","L178","L103","/content/diffusers/benchmarks/base_classes.py","166","5","183","15","0","2","0","15","18","1","0","0","0","6","12","2","0","2","15","18","12","0","0","0","0","0","0","0","0","0","0"
"L203","__init__","base_classes.ImageToImageBenchmark.__init__~Fn","L198","L103","/content/diffusers/benchmarks/base_classes.py","191","5","193","69","0","0","0","3","3","1","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L208","run_inference","base_classes.ImageToImageBenchmark.run_inference~Fn","L198","L103","/content/diffusers/benchmarks/base_classes.py","195","5","201","9","0","0","0","7","7","1","0","0","0","0","1","3","0","0","7","7","1","0","0","0","0","0","0","0","0","0","0"
"L214","__init__","base_classes.TurboImageToImageBenchmark.__init__~Fn","L212","L103","/content/diffusers/benchmarks/base_classes.py","205","5","206","30","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L219","run_inference","base_classes.TurboImageToImageBenchmark.run_inference~Fn","L212","L103","/content/diffusers/benchmarks/base_classes.py","208","5","216","9","0","0","0","9","9","1","0","0","0","0","1","3","0","0","9","9","1","0","0","0","0","0","0","0","0","0","0"
"L228","__init__","base_classes.InpaintingBenchmark.__init__~Fn","L223","L103","/content/diffusers/benchmarks/base_classes.py","224","5","227","67","0","0","0","4","4","1","0","0","0","0","3","2","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L233","run_inference","base_classes.InpaintingBenchmark.run_inference~Fn","L223","L103","/content/diffusers/benchmarks/base_classes.py","229","5","236","9","0","0","0","8","8","1","0","0","0","0","1","3","0","0","8","8","1","0","0","0","0","0","0","0","0","0","0"
"L241","__init__","base_classes.IPAdapterTextToImageBenchmark.__init__~Fn","L237","L103","/content/diffusers/benchmarks/base_classes.py","243","5","257","24","0","0","0","13","15","3","0","0","0","0","8","2","0","0","13","15","8","0","0","0","0","0","0","0","0","0","0"
"L246","run_inference","base_classes.IPAdapterTextToImageBenchmark.run_inference~Fn","L237","L103","/content/diffusers/benchmarks/base_classes.py","259","5","265","9","0","0","0","7","7","1","0","0","0","0","1","3","0","0","7","7","1","0","0","0","0","0","0","0","0","0","0"
"L257","__init__","base_classes.ControlNetBenchmark.__init__~Fn","L250","L103","/content/diffusers/benchmarks/base_classes.py","276","5","292","69","0","0","0","13","17","2","0","0","0","0","12","2","0","0","13","17","12","0","0","0","0","0","0","0","0","0","0"
"L263","run_inference","base_classes.ControlNetBenchmark.run_inference~Fn","L250","L103","/content/diffusers/benchmarks/base_classes.py","294","5","300","9","0","0","0","7","7","1","0","0","0","0","1","3","0","0","7","7","1","0","0","0","0","0","0","0","0","0","0"
"L271","__init__","base_classes.ControlNetSDXLBenchmark.__init__~Fn","L267","L103","/content/diffusers/benchmarks/base_classes.py","307","5","308","30","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L283","__init__","base_classes.T2IAdapterBenchmark.__init__~Fn","L276","L103","/content/diffusers/benchmarks/base_classes.py","319","5","335","69","0","0","0","13","17","2","0","0","0","0","12","2","0","0","13","17","12","0","0","0","0","0","0","0","0","0","0"
"L295","__init__","base_classes.T2IAdapterSDXLBenchmark.__init__~Fn","L289","L103","/content/diffusers/benchmarks/base_classes.py","345","5","346","30","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L586","test_dreambooth_lora_flux","test_dreambooth_lora_flux_advanced.DreamBoothLoRAFluxAdvanced.test_dreambooth_lora_flux~Fn","L580","L103","/content/diffusers/examples/advanced_diffusion_training/test_dreambooth_lora_flux_advanced.py","41","5","71","52","0","4","0","24","31","1","0","0","0","1","9","1","0","4","24","31","9","0","0","0","0","0","0","0","0","0","0"
"L596","test_dreambooth_lora_text_encoder_flux","test_dreambooth_lora_flux_advanced.DreamBoothLoRAFluxAdvanced.test_dreambooth_lora_text_encoder_flux~Fn","L580","L103","/content/diffusers/examples/advanced_diffusion_training/test_dreambooth_lora_flux_advanced.py","73","5","104","56","0","2","0","27","32","2","0","0","0","1","9","1","0","2","27","32","9","0","0","0","0","0","0","0","0","0","0"
"L598","test_dreambooth_lora_pivotal_tuning_flux_clip","test_dreambooth_lora_flux_advanced.DreamBoothLoRAFluxAdvanced.test_dreambooth_lora_pivotal_tuning_flux_clip~Fn","L580","L103","/content/diffusers/examples/advanced_diffusion_training/test_dreambooth_lora_flux_advanced.py","106","5","146","52","0","6","0","31","41","1","0","0","0","1","13","1","0","6","31","41","13","0","0","0","0","0","0","0","0","0","0"
"L600","test_dreambooth_lora_pivotal_tuning_flux_clip_t5","test_dreambooth_lora_flux_advanced.DreamBoothLoRAFluxAdvanced.test_dreambooth_lora_pivotal_tuning_flux_clip_t5~Fn","L580","L103","/content/diffusers/examples/advanced_diffusion_training/test_dreambooth_lora_flux_advanced.py","148","5","189","52","0","6","0","32","42","2","0","0","0","1","13","1","0","6","32","42","13","0","0","0","0","0","0","0","0","0","0"
"L602","test_dreambooth_lora_latent_caching","test_dreambooth_lora_flux_advanced.DreamBoothLoRAFluxAdvanced.test_dreambooth_lora_latent_caching~Fn","L580","L103","/content/diffusers/examples/advanced_diffusion_training/test_dreambooth_lora_flux_advanced.py","191","5","222","52","0","4","0","25","32","1","0","0","0","1","9","1","0","4","25","32","9","0","0","0","0","0","0","0","0","0","0"
"L604","test_dreambooth_lora_flux_checkpointing_checkpoints_total_limit","test_dreambooth_lora_flux_advanced.DreamBoothLoRAFluxAdvanced.test_dreambooth_lora_flux_checkpointing_checkpoints_total_limit~Fn","L580","L103","/content/diffusers/examples/advanced_diffusion_training/test_dreambooth_lora_flux_advanced.py","224","5","245","13","0","0","0","20","22","1","0","0","0","1","4","1","0","0","20","22","4","0","0","0","0","0","0","0","0","0","0"
"L606","test_dreambooth_lora_flux_checkpointing_checkpoints_total_limit_removes_multiple_checkpoints","test_dreambooth_lora_flux_advanced.DreamBoothLoRAFluxAdvanced.test_dreambooth_lora_flux_checkpointing_checkpoints_total_limit_removes_multiple_checkpoints~Fn","L580","L103","/content/diffusers/examples/advanced_diffusion_training/test_dreambooth_lora_flux_advanced.py","247","5","283","116","0","0","0","32","37","1","0","0","0","1","7","1","0","0","32","37","7","0","0","0","0","0","0","0","0","0","0"
