"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L161","__init__","benchmark.BenchmarkRunner.__init__~Fn","L159","L103","/content/pytorch-image-models/benchmark.py","215","5","291","36","0","0","0","73","77","9","0","0","0","2","40","15","0","0","73","77","40","0","0","2","0","0","1","0","0","0","2"
"L181","_init_input","benchmark.BenchmarkRunner._init_input~Fn","L159","L103","/content/pytorch-image-models/benchmark.py","293","5","297","99","0","0","0","5","5","2","0","0","0","0","3","1","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L185","__init__","benchmark.InferenceBenchmarkRunner.__init__~Fn","L183","L103","/content/pytorch-image-models/benchmark.py","302","5","310","25","0","0","0","9","9","1","0","0","0","0","2","5","0","0","9","9","2","0","0","0","0","0","0","0","0","0","0"
"L193","run","benchmark.InferenceBenchmarkRunner.run~Fn","L183","L103","/content/pytorch-image-models/benchmark.py","312","5","372","22","0","1","0","47","55","9","0","0","0","4","32","1","0","1","53","61","37","0","0","0","0","0","0","0","0","0","0"
"L202","__init__","benchmark.TrainBenchmarkRunner.__init__~Fn","L200","L103","/content/pytorch-image-models/benchmark.py","377","5","396","47","0","0","0","17","20","2","0","0","0","0","7","5","0","0","17","20","7","0","0","0","0","0","0","0","0","0","0"
"L210","_gen_target","benchmark.TrainBenchmarkRunner._gen_target~Fn","L200","L103","/content/pytorch-image-models/benchmark.py","398","5","400","110","0","0","0","3","3","1","0","0","0","0","1","2","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L213","run","benchmark.TrainBenchmarkRunner.run~Fn","L200","L103","/content/pytorch-image-models/benchmark.py","402","5","498","22","0","0","0","66","72","7","0","0","0","2","36","1","0","1","91","97","59","0","0","1","0","0","0","0","0","0","1"
"L221","__init__","benchmark.ProfileRunner.__init__~Fn","L219","L103","/content/pytorch-image-models/benchmark.py","503","5","512","25","0","0","0","10","10","4","0","0","0","0","9","5","0","0","10","10","9","0","0","0","0","0","0","0","0","0","0"
"L229","run","benchmark.ProfileRunner.run~Fn","L219","L103","/content/pytorch-image-models/benchmark.py","514","5","538","22","0","0","0","21","25","3","0","0","0","2","10","1","0","0","21","25","10","0","0","0","0","0","0","0","0","0","0"
"L396","__init__","test_layers.MLP.__init__~Fn","L394","L103","/content/pytorch-image-models/tests/test_layers.py","15","5","19","37","0","0","0","5","5","1","0","0","0","0","4","3","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L402","forward","test_layers.MLP.forward~Fn","L394","L103","/content/pytorch-image-models/tests/test_layers.py","21","5","25","16","0","0","0","5","5","1","0","0","0","0","4","2","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L785","__init__","auto_augment.AugmentOp.__init__~Fn","L783","L103","/content/pytorch-image-models/timm/data/auto_augment.py","359","5","378","68","0","5","0","14","20","4","0","0","0","0","10","5","0","5","14","20","10","0","0","0","0","0","0","0","0","0","0"
"L793","__call__","auto_augment.AugmentOp.__call__~Fn","L783","L103","/content/pytorch-image-models/timm/data/auto_augment.py","380","5","396","59","0","4","0","13","17","8","0","0","0","0","12","2","0","4","13","17","12","0","0","0","0","0","0","0","0","0","0"
"L796","__repr__","auto_augment.AugmentOp.__repr__~Fn","L783","L103","/content/pytorch-image-models/timm/data/auto_augment.py","398","5","404","17","0","0","0","7","7","2","0","0","0","0","6","1","0","0","7","7","6","0","0","0","0","0","0","0","0","0","0"
"L818","__init__","auto_augment.AutoAugment.__init__~Fn","L816","L103","/content/pytorch-image-models/timm/data/auto_augment.py","567","5","568","28","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L823","__call__","auto_augment.AutoAugment.__call__~Fn","L816","L103","/content/pytorch-image-models/timm/data/auto_augment.py","570","5","574","18","0","0","0","5","5","2","0","0","0","0","4","2","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L826","__repr__","auto_augment.AutoAugment.__repr__~Fn","L816","L103","/content/pytorch-image-models/timm/data/auto_augment.py","576","5","583","17","0","0","0","8","8","2","0","0","0","0","7","1","0","0","8","8","7","0","0","0","0","0","0","0","0","0","0"
"L850","__init__","auto_augment.RandAugment.__init__~Fn","L848","L103","/content/pytorch-image-models/timm/data/auto_augment.py","737","5","740","44","0","0","0","4","4","1","0","0","0","0","3","4","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L857","__call__","auto_augment.RandAugment.__call__~Fn","L848","L103","/content/pytorch-image-models/timm/data/auto_augment.py","742","5","752","18","0","1","0","10","11","2","0","0","0","0","4","2","0","1","10","11","4","0","0","0","0","0","0","0","0","0","0"
"L860","__repr__","auto_augment.RandAugment.__repr__~Fn","L848","L103","/content/pytorch-image-models/timm/data/auto_augment.py","754","5","759","17","0","0","0","6","6","2","0","0","0","0","5","1","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L878","__init__","auto_augment.AugMixAugment.__init__~Fn","L875","L103","/content/pytorch-image-models/timm/data/auto_augment.py","881","5","886","30","0","1","0","6","6","1","0","0","0","0","5","6","0","1","6","6","5","0","0","1","0","0","0","0","0","0","1"
"L887","_calc_blended_weights","auto_augment.AugMixAugment._calc_blended_weights~Fn","L875","L103","/content/pytorch-image-models/timm/data/auto_augment.py","888","5","896","52","0","0","0","9","9","2","0","0","0","0","8","3","0","0","9","9","8","0","0","0","0","0","0","0","0","0","0"
"L891","_apply_blended","auto_augment.AugMixAugment._apply_blended~Fn","L875","L103","/content/pytorch-image-models/timm/data/auto_augment.py","898","5","912","18","0","5","0","11","15","4","0","0","0","1","10","4","0","5","11","15","10","0","0","0","0","0","0","0","0","0","0"
"L897","_apply_basic","auto_augment.AugMixAugment._apply_basic~Fn","L875","L103","/content/pytorch-image-models/timm/data/auto_augment.py","914","5","929","41","0","4","0","13","16","4","0","0","0","0","12","4","0","4","13","16","12","0","0","0","0","0","0","0","0","0","0"
"L902","__call__","auto_augment.AugMixAugment.__call__~Fn","L875","L103","/content/pytorch-image-models/timm/data/auto_augment.py","931","5","938","20","0","0","0","8","8","2","0","0","0","2","6","2","0","0","8","8","6","0","0","0","0","0","0","0","0","0","0"
"L907","__repr__","auto_augment.AugMixAugment.__repr__~Fn","L875","L103","/content/pytorch-image-models/timm/data/auto_augment.py","940","5","945","17","0","0","0","6","6","2","0","0","0","0","5","1","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L953","__init__","dataset.ImageDataset.__init__~Fn","L951","L103","/content/pytorch-image-models/timm/data/dataset.py","23","5","48","36","0","0","0","26","26","4","0","0","0","0","8","10","0","0","26","26","8","0","0","1","0","0","1","0","0","0","1"
"L966","__getitem__","dataset.ImageDataset.__getitem__~Fn","L951","L103","/content/pytorch-image-models/timm/data/dataset.py","50","5","74","26","0","0","0","21","25","9","0","0","0","0","18","2","0","0","21","25","18","0","0","0","0","0","0","0","0","0","0"
"L970","__len__","dataset.ImageDataset.__len__~Fn","L951","L103","/content/pytorch-image-models/timm/data/dataset.py","76","5","77","31","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L972","filename","dataset.ImageDataset.filename~Fn","L951","L103","/content/pytorch-image-models/timm/data/dataset.py","79","5","80","62","0","0","0","2","2","1","0","0","0","0","1","4","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L977","filenames","dataset.ImageDataset.filenames~Fn","L951","L103","/content/pytorch-image-models/timm/data/dataset.py","82","5","83","56","0","0","0","2","2","1","0","0","0","0","1","3","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L983","__init__","dataset.IterableImageDataset.__init__~Fn","L981","L103","/content/pytorch-image-models/timm/data/dataset.py","88","5","129","36","0","0","0","42","42","2","0","0","0","0","7","17","0","0","42","42","7","0","0","1","0","0","1","0","0","0","1"
"L1003","__iter__","dataset.IterableImageDataset.__iter__~Fn","L981","L103","/content/pytorch-image-models/timm/data/dataset.py","131","5","137","29","0","0","0","7","7","4","0","0","0","0","6","1","0","0","7","7","6","0","0","0","0","0","0","0","0","0","0"
"L1005","__len__","dataset.IterableImageDataset.__len__~Fn","L981","L103","/content/pytorch-image-models/timm/data/dataset.py","139","5","143","20","0","0","0","5","5","2","0","0","0","0","3","1","0","0","5","5","3","0","0","0","0","0","0","0","0","0","0"
"L1007","set_epoch","dataset.IterableImageDataset.set_epoch~Fn","L981","L103","/content/pytorch-image-models/timm/data/dataset.py","145","5","148","40","0","1","0","3","4","2","0","0","0","0","2","2","0","1","3","4","2","0","0","0","0","0","0","0","0","0","0"
"L1010","set_loader_cfg","dataset.IterableImageDataset.set_loader_cfg~Fn","L981","L103","/content/pytorch-image-models/timm/data/dataset.py","150","5","156","63","0","1","0","6","7","2","0","0","0","0","2","2","0","1","6","7","2","0","0","0","0","0","0","0","0","0","0"
"L1013","filename","dataset.IterableImageDataset.filename~Fn","L981","L103","/content/pytorch-image-models/timm/data/dataset.py","158","5","159","80","0","0","0","2","2","1","0","0","0","0","1","4","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1018","filenames","dataset.IterableImageDataset.filenames~Fn","L981","L103","/content/pytorch-image-models/timm/data/dataset.py","161","5","162","56","0","0","0","2","2","1","0","0","0","0","1","3","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1025","__init__","dataset.AugMixDataset.__init__~Fn","L1022","L103","/content/pytorch-image-models/timm/data/dataset.py","168","5","174","36","0","0","0","7","7","2","0","0","0","1","6","3","0","0","7","7","6","0","0","0","0","0","0","0","0","0","0"
"L1031","_set_transforms","dataset.AugMixDataset._set_transforms~Fn","L1022","L103","/content/pytorch-image-models/timm/data/dataset.py","176","5","180","29","0","0","0","5","5","2","0","0","0","0","4","2","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L1035","transform","dataset.AugMixDataset.transform~Fn","L1022","L103","/content/pytorch-image-models/timm/data/dataset.py","182","5","184","37","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
