"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L150","__init__","api.MiDaSInference.__init__~Fn","L146","L103","/content/ControlNet/annotator/midas/api.py","158","5","163","41","0","0","0","6","6","1","0","0","0","1","5","2","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L157","forward","api.MiDaSInference.forward~Fn","L146","L103","/content/ControlNet/annotator/midas/api.py","165","5","168","25","0","0","0","4","4","1","0","0","0","0","3","2","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L169","load","base_model.BaseModel.load~Fn","L167","L103","/content/ControlNet/annotator/midas/midas/base_model.py","5","5","16","40","0","5","5","5","12","2","0","0","0","0","4","2","0","5","5","12","4","0","0","0","0","0","0","0","0","0","0"
"L210","__init__","blocks.Interpolate.__init__~Fn","L207","L103","/content/ControlNet/annotator/midas/midas/blocks.py","124","5","136","42","0","6","6","6","13","1","0","0","0","0","5","4","0","6","6","13","5","0","0","0","0","0","0","0","0","0","0"
"L218","forward","blocks.Interpolate.forward~Fn","L207","L103","/content/ControlNet/annotator/midas/midas/blocks.py","138","5","152","16","0","8","8","5","15","1","0","0","0","0","2","2","0","8","5","15","2","0","0","0","0","0","0","0","0","0","0"
"L225","__init__","blocks.ResidualConvUnit.__init__~Fn","L222","L103","/content/ControlNet/annotator/midas/midas/blocks.py","159","5","175","41","0","5","5","9","17","1","0","0","0","0","4","2","0","5","9","17","4","0","0","0","0","0","0","0","0","0","0"
"L231","forward","blocks.ResidualConvUnit.forward~Fn","L222","L103","/content/ControlNet/annotator/midas/midas/blocks.py","177","5","191","22","0","8","8","6","15","1","0","0","0","0","5","2","0","8","6","15","5","0","0","0","0","0","0","0","0","0","0"
"L238","__init__","blocks.FeatureFusionBlock.__init__~Fn","L235","L103","/content/ControlNet/annotator/midas/midas/blocks.py","198","5","207","54","0","5","5","4","10","1","0","0","0","0","3","2","0","5","4","10","3","0","0","0","0","0","0","0","0","0","0"
"L244","forward","blocks.FeatureFusionBlock.forward~Fn","L235","L103","/content/ControlNet/annotator/midas/midas/blocks.py","209","5","226","21","0","5","5","9","18","2","0","0","0","0","6","2","0","5","9","18","6","0","0","0","0","0","0","0","0","0","0"
"L251","__init__","blocks.ResidualConvUnit_custom.__init__~Fn","L248","L103","/content/ControlNet/annotator/midas/midas/blocks.py","235","5","261","54","0","5","5","15","27","2","0","0","0","0","10","4","0","5","15","27","10","0","0","0","0","0","0","0","0","0","0"
"L259","forward","blocks.ResidualConvUnit_custom.forward~Fn","L248","L103","/content/ControlNet/annotator/midas/midas/blocks.py","263","5","286","40","0","8","8","12","24","4","0","0","0","0","11","2","0","8","12","24","11","0","0","0","0","0","0","0","0","0","0"
"L266","__init__","blocks.FeatureFusionBlock_custom.__init__~Fn","L263","L103","/content/ControlNet/annotator/midas/midas/blocks.py","295","5","318","54","0","5","5","13","24","2","0","0","0","0","12","7","0","5","13","24","12","0","0","1","0","0","1","0","0","0","1"
"L277","forward","blocks.FeatureFusionBlock_custom.forward~Fn","L263","L103","/content/ControlNet/annotator/midas/midas/blocks.py","320","5","341","21","0","6","5","11","22","2","0","0","0","0","8","2","0","6","11","22","8","0","0","0","0","0","0","0","0","0","0"
"L289","__init__","dpt_depth.DPT.__init__~Fn","L287","L103","/content/ControlNet/annotator/midas/midas/dpt_depth.py","27","5","64","39","0","2","0","31","38","1","0","0","0","1","9","7","0","2","31","38","9","0","0","1","0","0","1","0","0","0","1"
