"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L227","get_prompt","conversation.Conversation.get_prompt~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","76","5","328","64","0","6","1","246","253","91","0","0","0","0","213","1","0","6","246","253","213","0","0","7","0","0","1","1","0","0","6"
"L237","get_images","conversation.Conversation.get_images~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","330","5","338","21","0","0","0","8","9","5","0","0","0","0","7","1","0","0","8","9","7","0","0","0","0","0","0","0","0","0","0"
"L240","set_system_message","conversation.Conversation.set_system_message~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","340","5","342","44","0","1","1","2","3","1","0","0","0","0","1","2","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L244","get_system_message","conversation.Conversation.get_system_message~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","344","5","348","34","0","1","1","4","5","3","0","0","0","0","3","2","0","1","4","5","3","0","0","0","0","0","0","0","0","0","0"
"L249","append_message","conversation.Conversation.append_message~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","350","5","352","45","0","1","1","2","3","1","0","0","0","0","1","3","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L254","update_last_message","conversation.Conversation.update_last_message~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","354","5","360","38","0","5","5","2","7","1","0","0","0","0","1","2","0","5","2","7","1","0","0","0","0","0","0","0","0","0","0"
"L258","to_gradio_chatbot","conversation.Conversation.to_gradio_chatbot~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","362","5","381","18","0","2","1","17","20","6","0","0","0","0","15","1","0","2","17","20","15","0","0","0","0","0","0","0","0","0","0"
"L261","to_openai_vision_api_messages","conversation.Conversation.to_openai_vision_api_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","383","5","423","18","0","1","1","38","41","8","0","0","0","0","20","2","0","1","38","41","20","0","0","0","0","0","0","0","0","0","0"
"L265","to_openai_api_messages","conversation.Conversation.to_openai_api_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","425","5","438","18","0","1","1","12","14","5","0","0","0","0","9","1","0","1","12","14","9","0","0","0","0","0","0","0","0","0","0"
"L268","to_gemini_api_messages","conversation.Conversation.to_gemini_api_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","440","5","462","18","0","0","0","21","23","7","0","0","0","0","17","1","0","0","21","23","17","0","0","0","0","0","0","0","0","0","0"
"L270","to_vertex_api_messages","conversation.Conversation.to_vertex_api_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","464","5","490","18","0","1","0","24","27","8","0","0","0","0","21","1","0","1","24","27","21","0","0","0","0","0","0","0","0","0","0"
"L272","to_anthropic_vision_api_messages","conversation.Conversation.to_anthropic_vision_api_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","492","5","530","18","0","1","1","36","39","6","0","0","0","0","12","1","0","1","36","39","12","0","0","0","0","0","0","0","0","0","0"
"L275","to_reka_api_messages","conversation.Conversation.to_reka_api_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","532","5","584","18","0","0","0","51","53","7","0","0","0","0","14","1","0","0","51","53","14","0","0","0","0","0","0","0","0","0","0"
"L277","to_metagen_api_messages","conversation.Conversation.to_metagen_api_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","586","5","609","18","0","2","1","21","24","6","0","0","0","0","13","1","0","2","21","24","13","0","0","0","0","0","0","0","0","0","0"
"L280","save_new_images","conversation.Conversation.save_new_images~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","611","5","639","51","0","2","0","23","29","7","0","0","0","0","18","3","0","2","23","29","18","0","0","0","0","0","0","0","0","0","0"
"L284","extract_text_and_image_hashes_from_messages","conversation.Conversation.extract_text_and_image_hashes_from_messages~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","641","5","665","23","0","0","0","20","25","6","0","0","0","0","18","1","0","0","20","25","18","0","0","0","0","0","0","0","0","0","0"
"L286","copy","conversation.Conversation.copy~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","667","5","682","9","0","0","0","16","16","1","0","0","0","0","1","1","0","0","16","16","1","0","0","0","0","0","0","0","0","0","0"
"L288","dict","conversation.Conversation.dict~Fn","L211","L103","/content/FastChat/fastchat/conversation.py","684","5","691","9","0","0","0","8","8","1","0","0","0","1","1","1","0","0","8","8","1","0","0","0","0","0","0","0","0","0","0"
"L1008","__init__","compression.CLinear.__init__~Fn","L1005","L103","/content/FastChat/fastchat/model/compression.py","42","5","50","24","0","0","0","9","9","3","0","0","0","1","7","4","0","0","9","9","7","0","0","0","0","0","0","0","0","0","0"
"L1017","forward","compression.CLinear.forward~Fn","L1005","L103","/content/FastChat/fastchat/model/compression.py","52","5","56","83","0","0","0","5","5","2","0","0","0","1","4","2","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L1063","__init__","llama_condense_monkey_patch.CondenseRotaryEmbedding.__init__~Fn","L1061","L103","/content/FastChat/fastchat/model/llama_condense_monkey_patch.py","11","5","40","9","0","3","0","26","30","1","0","0","0","0","12","6","0","3","26","30","12","0","0","1","0","0","0","0","0","0","1"
"L1072","forward","llama_condense_monkey_patch.CondenseRotaryEmbedding.forward~Fn","L1061","L103","/content/FastChat/fastchat/model/llama_condense_monkey_patch.py","42","5","65","9","0","3","0","21","24","2","0","0","0","0","8","3","0","3","21","24","8","0","0","0","0","0","0","0","0","0","0"
"L1100","match","model_adapter.BaseModelAdapter.match~Fn","L1096","L103","/content/FastChat/fastchat/model/model_adapter.py","102","5","103","19","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1105","load_model","model_adapter.BaseModelAdapter.load_model~Fn","L1096","L103","/content/FastChat/fastchat/model/model_adapter.py","105","5","132","31","0","0","0","28","28","3","0","0","0","0","8","3","0","0","28","28","8","0","0","0","0","0","0","0","0","0","0"
"L1109","load_compress_model","model_adapter.BaseModelAdapter.load_compress_model~Fn","L1096","L103","/content/FastChat/fastchat/model/model_adapter.py","134","5","141","9","0","0","0","8","8","1","0","0","0","0","1","5","0","0","8","8","1","0","0","0","0","0","0","0","0","0","0"
"L1115","get_default_conv_template","model_adapter.BaseModelAdapter.get_default_conv_template~Fn","L1096","L103","/content/FastChat/fastchat/model/model_adapter.py","143","5","144","44","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1170","match","model_adapter.PeftModelAdapter.match~Fn","L1167","L103","/content/FastChat/fastchat/model/model_adapter.py","633","5","637","43","0","1","1","4","5","2","0","0","0","0","3","2","0","1","4","5","3","0","0","0","0","0","0","0","0","0","0"
"L1176","load_model","model_adapter.PeftModelAdapter.load_model~Fn","L1167","L103","/content/FastChat/fastchat/model/model_adapter.py","639","5","686","31","0","17","1","28","48","4","0","0","0","1","18","3","0","17","28","48","18","0","0","0","0","0","0","0","0","0","0"
"L1181","get_default_conv_template","model_adapter.PeftModelAdapter.get_default_conv_template~Fn","L1167","L103","/content/FastChat/fastchat/model/model_adapter.py","688","5","699","85","0","1","1","10","12","2","0","0","0","1","7","2","0","1","10","12","7","0","0","0","0","0","0","0","0","0","0"
"L1189","match","model_adapter.VicunaAdapter.match~Fn","L1185","L103","/content/FastChat/fastchat/model/model_adapter.py","707","5","708","45","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1194","load_model","model_adapter.VicunaAdapter.load_model~Fn","L1185","L103","/content/FastChat/fastchat/model/model_adapter.py","710","5","721","31","0","0","0","12","12","1","0","0","0","1","5","3","0","0","12","12","5","0","0","0","0","0","0","0","0","0","0"
"L1200","get_default_conv_template","model_adapter.VicunaAdapter.get_default_conv_template~Fn","L1185","L103","/content/FastChat/fastchat/model/model_adapter.py","723","5","726","47","0","0","0","4","4","2","0","0","0","1","3","2","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L1198","raise_warning_for_old_weights","model_adapter.VicunaAdapter.raise_warning_for_old_weights~Fn","L1185","L103","/content/FastChat/fastchat/model/model_adapter.py","728","5","737","13","0","0","0","10","10","3","0","0","0","0","2","2","0","0","10","10","2","0","0","0","0","0","0","0","0","0","0"
"L1209","match","model_adapter.AiroborosAdapter.match~Fn","L1206","L103","/content/FastChat/fastchat/model/model_adapter.py","743","5","746","20","0","0","0","4","4","2","0","0","0","0","3","2","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0"
"L1214","get_default_conv_template","model_adapter.AiroborosAdapter.get_default_conv_template~Fn","L1206","L103","/content/FastChat/fastchat/model/model_adapter.py","748","5","753","48","0","0","0","6","6","5","0","0","0","0","5","2","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L1217","load_model","model_adapter.AiroborosAdapter.load_model~Fn","L1206","L103","/content/FastChat/fastchat/model/model_adapter.py","755","5","768","31","0","0","0","14","14","2","0","0","0","0","5","3","0","0","14","14","5","0","0","0","0","0","0","0","0","0","0"
"L1225","match","model_adapter.LongChatAdapter.match~Fn","L1221","L103","/content/FastChat/fastchat/model/model_adapter.py","776","5","777","47","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1230","load_model","model_adapter.LongChatAdapter.load_model~Fn","L1221","L103","/content/FastChat/fastchat/model/model_adapter.py","779","5","794","31","0","1","0","13","16","1","0","0","0","0","6","3","0","1","13","16","6","0","0","0","0","0","0","0","0","0","0"
"L1234","get_default_conv_template","model_adapter.LongChatAdapter.get_default_conv_template~Fn","L1221","L103","/content/FastChat/fastchat/model/model_adapter.py","796","5","797","47","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1240","match","model_adapter.GoogleT5Adapter.match~Fn","L1237","L103","/content/FastChat/fastchat/model/model_adapter.py","803","5","807","9","0","0","0","5","5","1","0","0","0","0","1","2","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0"
"L1245","load_model","model_adapter.GoogleT5Adapter.load_model~Fn","L1237","L103","/content/FastChat/fastchat/model/model_adapter.py","809","5","818","31","0","0","0","10","10","1","0","0","0","0","4","3","0","0","10","10","4","0","0","0","0","0","0","0","0","0","0"
"L1253","match","model_adapter.KoalaAdapter.match~Fn","L1249","L103","/content/FastChat/fastchat/model/model_adapter.py","826","5","827","44","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1258","get_default_conv_template","model_adapter.KoalaAdapter.get_default_conv_template~Fn","L1249","L103","/content/FastChat/fastchat/model/model_adapter.py","829","5","830","44","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1265","match","model_adapter.AlpacaAdapter.match~Fn","L1261","L103","/content/FastChat/fastchat/model/model_adapter.py","838","5","839","45","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1270","get_default_conv_template","model_adapter.AlpacaAdapter.get_default_conv_template~Fn","L1261","L103","/content/FastChat/fastchat/model/model_adapter.py","841","5","842","42","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1276","match","model_adapter.ChatGLMAdapter.match~Fn","L1273","L103","/content/FastChat/fastchat/model/model_adapter.py","848","5","849","46","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1281","load_model","model_adapter.ChatGLMAdapter.load_model~Fn","L1273","L103","/content/FastChat/fastchat/model/model_adapter.py","851","5","867","31","0","0","0","17","17","2","0","0","0","0","6","3","0","0","17","17","6","0","0","0","0","0","0","0","0","0","0"
"L1285","get_default_conv_template","model_adapter.ChatGLMAdapter.get_default_conv_template~Fn","L1273","L103","/content/FastChat/fastchat/model/model_adapter.py","869","5","875","43","0","0","0","7","7","3","0","0","0","0","6","2","0","0","7","7","6","0","0","0","0","0","0","0","0","0","0"
"L1291","match","model_adapter.CodeGeexAdapter.match~Fn","L1288","L103","/content/FastChat/fastchat/model/model_adapter.py","881","5","882","47","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1296","load_model","model_adapter.CodeGeexAdapter.load_model~Fn","L1288","L103","/content/FastChat/fastchat/model/model_adapter.py","884","5","892","31","0","0","0","9","9","1","0","0","0","0","4","3","0","0","9","9","4","0","0","0","0","0","0","0","0","0","0"
"L1300","get_default_conv_template","model_adapter.CodeGeexAdapter.get_default_conv_template~Fn","L1288","L103","/content/FastChat/fastchat/model/model_adapter.py","894","5","895","44","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1306","match","model_adapter.DollyV2Adapter.match~Fn","L1303","L103","/content/FastChat/fastchat/model/model_adapter.py","901","5","902","47","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1311","load_model","model_adapter.DollyV2Adapter.load_model~Fn","L1303","L103","/content/FastChat/fastchat/model/model_adapter.py","904","5","916","31","0","1","0","12","13","1","0","0","0","0","7","3","0","1","12","13","7","0","0","0","0","0","0","0","0","0","0"
"L1315","get_default_conv_template","model_adapter.DollyV2Adapter.get_default_conv_template~Fn","L1303","L103","/content/FastChat/fastchat/model/model_adapter.py","918","5","919","44","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1321","match","model_adapter.OasstPythiaAdapter.match~Fn","L1318","L103","/content/FastChat/fastchat/model/model_adapter.py","925","5","927","63","0","0","0","3","3","2","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L1326","get_default_conv_template","model_adapter.OasstPythiaAdapter.get_default_conv_template~Fn","L1318","L103","/content/FastChat/fastchat/model/model_adapter.py","929","5","930","48","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1329","load_model","model_adapter.OasstPythiaAdapter.load_model~Fn","L1318","L103","/content/FastChat/fastchat/model/model_adapter.py","932","5","936","31","0","0","0","5","5","1","0","0","0","0","4","3","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L1337","match","model_adapter.OasstLLaMAAdapter.match~Fn","L1333","L103","/content/FastChat/fastchat/model/model_adapter.py","944","5","948","67","0","0","0","5","5","3","0","0","0","0","4","2","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L1342","get_default_conv_template","model_adapter.OasstLLaMAAdapter.get_default_conv_template~Fn","L1333","L103","/content/FastChat/fastchat/model/model_adapter.py","950","5","951","47","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1348","match","model_adapter.OpenChat35Adapter.match~Fn","L1345","L103","/content/FastChat/fastchat/model/model_adapter.py","957","5","962","20","0","0","0","6","6","4","0","0","0","0","5","2","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L1353","get_default_conv_template","model_adapter.OpenChat35Adapter.get_default_conv_template~Fn","L1345","L103","/content/FastChat/fastchat/model/model_adapter.py","964","5","965","48","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1359","match","model_adapter.TenyxChatAdapter.match~Fn","L1356","L103","/content/FastChat/fastchat/model/model_adapter.py","971","5","972","48","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1364","get_default_conv_template","model_adapter.TenyxChatAdapter.get_default_conv_template~Fn","L1356","L103","/content/FastChat/fastchat/model/model_adapter.py","974","5","975","45","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1370","match","model_adapter.PythiaAdapter.match~Fn","L1367","L103","/content/FastChat/fastchat/model/model_adapter.py","981","5","982","45","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1375","load_model","model_adapter.PythiaAdapter.load_model~Fn","L1367","L103","/content/FastChat/fastchat/model/model_adapter.py","984","5","988","31","0","0","0","5","5","1","0","0","0","0","4","3","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L1382","match","model_adapter.StableLMAdapter.match~Fn","L1379","L103","/content/FastChat/fastchat/model/model_adapter.py","994","5","995","47","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1387","get_default_conv_template","model_adapter.StableLMAdapter.get_default_conv_template~Fn","L1379","L103","/content/FastChat/fastchat/model/model_adapter.py","997","5","998","44","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L1393","match","model_adapter.MPTAdapter.match~Fn","L1390","L103","/content/FastChat/fastchat/model/model_adapter.py","1004","5","1006","68","0","0","0","3","3","2","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
