"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L421","__call__","gallery_order.MplExplicitOrder.__call__~Fn","L418","L103","/content/matplotlib/doc/sphinxext/gallery_order.py","59","5","64","67","0","1","1","5","6","2","0","0","0","0","3","2","0","1","5","6","3","0","0","0","0","0","0","0","0","0","0"
"L432","__init__","gallery_order.MplExplicitSubOrder.__init__~Fn","L429","L103","/content/matplotlib/doc/sphinxext/gallery_order.py","110","5","112","53","0","1","0","3","3","1","0","0","0","0","2","2","0","1","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L437","__call__","gallery_order.MplExplicitSubOrder.__call__~Fn","L429","L103","/content/matplotlib/doc/sphinxext/gallery_order.py","114","5","120","31","0","2","1","5","7","2","0","0","0","0","3","2","0","2","5","7","3","0","0","0","0","0","0","0","0","0","0"
"L505","run","math_symbol_table.MathSymbolTableDirective.run~Fn","L498","L103","/content/matplotlib/doc/sphinxext/math_symbol_table.py","121","5","122","38","0","0","0","2","2","1","0","0","0","1","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L577","redirects","redirect_from.RedirectFromDomain.redirects~Fn","L572","L103","/content/matplotlib/doc/sphinxext/redirect_from.py","71","5","74","52","0","1","1","3","4","1","0","0","0","0","1","1","0","1","3","4","1","0","0","0","0","0","0","0","0","0","0"
"L582","clear_doc","redirect_from.RedirectFromDomain.clear_doc~Fn","L572","L103","/content/matplotlib/doc/sphinxext/redirect_from.py","76","5","77","41","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L585","merge_domaindata","redirect_from.RedirectFromDomain.merge_domaindata~Fn","L572","L103","/content/matplotlib/doc/sphinxext/redirect_from.py","79","5","86","79","0","0","0","8","8","4","0","0","0","0","5","3","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0"
"L592","run","redirect_from.RedirectFrom.run~Fn","L589","L103","/content/matplotlib/doc/sphinxext/redirect_from.py","92","5","102","17","0","0","0","11","11","2","0","0","0","0","8","1","0","0","11","11","8","0","0","0","0","0","0","0","0","0","0"
"L773","__init__","bayes_update.UpdateDist.__init__~Fn","L771","L103","/content/matplotlib/galleries/examples/animation/bayes_update.py","28","5","42","60","0","3","0","10","15","1","0","0","0","0","9","3","0","3","10","15","9","0","0","0","0","0","0","0","0","0","0"
"L779","start","bayes_update.UpdateDist.start~Fn","L771","L103","/content/matplotlib/galleries/examples/animation/bayes_update.py","44","5","47","25","0","2","0","2","4","1","0","0","0","0","1","1","0","2","2","4","1","0","0","0","0","0","0","0","0","0","0"
"L781","__call__","bayes_update.UpdateDist.__call__~Fn","L771","L103","/content/matplotlib/galleries/examples/animation/bayes_update.py","49","5","62","25","0","3","0","10","14","3","0","0","0","1","9","2","0","3","10","14","9","0","0","0","0","0","0","0","0","0","0"
"L859","__init__","pause_resume.PauseAnimation.__init__~Fn","L857","L103","/content/matplotlib/galleries/examples/animation/pause_resume.py","29","5","43","71","0","1","0","11","15","1","0","0","0","0","8","1","0","1","11","15","8","0","0","0","0","0","0","0","0","0","0"
"L863","toggle_pause","pause_resume.PauseAnimation.toggle_pause~Fn","L857","L103","/content/matplotlib/galleries/examples/animation/pause_resume.py","45","5","50","37","0","0","0","6","6","2","0","0","0","0","4","3","0","0","6","6","4","0","0","0","0","0","0","0","0","0","0"
