"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L199","__init__","actions.GlancesActions.__init__~Fn","L196","L103","/content/glances/glances/actions.py","27","5","40","39","0","7","1","6","14","2","0","0","0","0","4","2","0","7","6","14","4","0","0","0","0","0","0","0","0","0","0"
"L205","get","actions.GlancesActions.get~Fn","L196","L103","/content/glances/glances/actions.py","42","5","47","23","0","1","1","5","6","2","0","0","0","0","3","2","0","1","5","6","3","0","0","0","0","0","0","0","0","0","0"
"L209","set","actions.GlancesActions.set~Fn","L196","L103","/content/glances/glances/actions.py","49","5","51","44","0","1","1","2","3","1","0","0","0","0","1","3","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L214","run","actions.GlancesActions.run~Fn","L196","L103","/content/glances/glances/actions.py","53","5","92","19","0","14","10","22","40","8","0","0","0","2","14","6","0","14","22","40","14","0","0","1","0","0","0","0","0","0","1"
"L240","__init__","amp.GlancesAmp.__init__~Fn","L232","L103","/content/glances/glances/amps/amp.py","38","5","56","29","0","6","1","9","19","2","0","0","0","0","7","3","0","6","9","19","7","0","0","0","0","0","0","0","0","0","0"
"L249","load_config","amp.GlancesAmp.load_config~Fn","L232","L103","/content/glances/glances/amps/amp.py","58","5","104","28","0","15","1","27","47","9","0","0","0","1","20","2","0","15","27","47","20","0","0","0","0","0","0","0","0","0","0"
"L255","get","amp.GlancesAmp.get~Fn","L232","L103","/content/glances/glances/amps/amp.py","106","5","110","19","0","1","1","4","5","2","0","0","0","0","3","2","0","1","4","5","3","0","0","0","0","0","0","0","0","0","0"
"L253","enable","amp.GlancesAmp.enable~Fn","L232","L103","/content/glances/glances/amps/amp.py","112","5","117","45","0","1","1","5","6","2","0","0","0","1","4","1","0","1","5","6","4","0","0","0","0","0","0","0","0","0","0"
"L262","regex","amp.GlancesAmp.regex~Fn","L232","L103","/content/glances/glances/amps/amp.py","119","5","121","32","0","1","1","2","3","1","0","0","0","1","1","1","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L265","refresh","amp.GlancesAmp.refresh~Fn","L232","L103","/content/glances/glances/amps/amp.py","123","5","125","34","0","1","1","2","3","1","0","0","0","1","1","1","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L268","one_line","amp.GlancesAmp.one_line~Fn","L232","L103","/content/glances/glances/amps/amp.py","127","5","132","45","0","1","1","5","6","2","0","0","0","1","4","1","0","1","5","6","4","0","0","0","0","0","0","0","0","0","0"
"L271","time_until_refresh","amp.GlancesAmp.time_until_refresh~Fn","L232","L103","/content/glances/glances/amps/amp.py","134","5","136","31","0","1","1","2","3","1","0","0","0","0","1","1","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L274","should_update","amp.GlancesAmp.should_update~Fn","L232","L103","/content/glances/glances/amps/amp.py","138","5","149","20","0","6","6","6","12","2","0","0","0","2","5","1","0","6","6","12","5","0","0","0","0","0","0","0","0","0","0"
"L278","set_count","amp.GlancesAmp.set_count~Fn","L232","L103","/content/glances/glances/amps/amp.py","151","5","153","37","0","1","1","2","3","1","0","0","0","0","1","2","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L282","count","amp.GlancesAmp.count~Fn","L232","L103","/content/glances/glances/amps/amp.py","155","5","157","32","0","1","1","2","3","1","0","0","0","1","1","1","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
