"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L183","__init__","download-model.ModelDownloader.__init__~Fn","L181","L103","/content/text-generation-webui/download-model.py","30","5","32","41","0","0","0","3","3","1","0","0","0","1","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L188","get_session","download-model.ModelDownloader.get_session~Fn","L181","L103","/content/text-generation-webui/download-model.py","34","5","52","22","0","0","0","15","19","6","0","0","0","0","13","1","0","0","15","19","13","0","0","0","0","0","0","0","0","0","0"
"L191","sanitize_model_and_branch_names","download-model.ModelDownloader.sanitize_model_and_branch_names~Fn","L181","L103","/content/text-generation-webui/download-model.py","54","5","73","28","0","0","0","16","20","7","0","0","0","0","13","3","0","0","16","20","13","0","0","0","0","0","0","0","0","0","0"
"L195","get_download_links_from_huggingface","download-model.ModelDownloader.get_download_links_from_huggingface~Fn","L181","L103","/content/text-generation-webui/download-model.py","75","5","169","50","0","6","0","77","95","35","0","0","0","0","75","5","0","6","77","95","75","0","0","2","0","0","1","1","0","0","1"
"L201","get_output_folder","download-model.ModelDownloader.get_output_folder~Fn","L181","L103","/content/text-generation-webui/download-model.py","171","5","186","28","0","1","0","12","16","5","0","0","0","0","10","6","0","1","12","16","10","0","0","1","0","0","0","0","0","0","1"
"L208","get_single_file","download-model.ModelDownloader.get_single_file~Fn","L181","L103","/content/text-generation-webui/download-model.py","188","5","251","85","0","5","0","54","64","11","0","0","0","0","41","4","0","5","54","64","41","0","0","1","0","0","1","1","0","0","0"
"L213","start_download_threads","download-model.ModelDownloader.start_download_threads~Fn","L181","L103","/content/text-generation-webui/download-model.py","253","5","254","157","0","0","0","2","2","1","0","0","0","1","1","5","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L220","download_model_files","download-model.ModelDownloader.download_model_files~Fn","L181","L103","/content/text-generation-webui/download-model.py","256","5","279","113","0","1","0","17","24","4","0","0","0","0","13","11","0","1","17","24","13","0","0","1","0","0","1","0","0","0","1"
"L232","check_model_files","download-model.ModelDownloader.check_model_files~Fn","L181","L103","/content/text-generation-webui/download-model.py","281","5","304","90","0","1","0","20","24","5","0","0","0","0","17","6","0","1","20","24","17","0","0","1","0","0","0","0","0","0","1"
"L317","__init__","custom_scheduler.FPNEFtuneTrainer.__init__~Fn","L315","L103","/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py","264","5","268","56","0","0","0","5","5","2","0","0","0","1","4","5","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L325","_activate_neftune","custom_scheduler.FPNEFtuneTrainer._activate_neftune~Fn","L315","L103","/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py","271","5","292","20","0","6","3","12","22","3","0","0","0","0","11","2","0","6","12","22","11","0","0","0","0","0","0","0","0","0","0"
"L330","train","custom_scheduler.FPNEFtuneTrainer.train~Fn","L315","L103","/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py","294","5","311","21","0","2","0","12","18","5","0","0","0","0","11","3","0","2","12","18","11","0","0","0","0","0","0","0","0","0","0"
"L336","__init__","custom_scheduler.FPSchedulerTrainer.__init__~Fn","L334","L103","/content/text-generation-webui/extensions/Training_PRO/custom_scheduler.py","315","5","319","56","0","0","0","5","5","2","0","0","0","1","4","5","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
