"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L8426","__init__","det_inferencer.DetInferencer.__init__~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","86","5","102","42","0","2","0","15","17","1","0","0","0","0","7","7","0","2","15","17","7","0","0","1","0","0","1","0","0","0","1"
"L8436","_load_weights_to_model","det_inferencer.DetInferencer._load_weights_to_model~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","104","5","157","60","0","12","7","40","54","7","0","0","0","0","24","4","0","12","40","54","24","0","0","0","0","0","0","0","0","0","0"
"L8442","_init_pipeline","det_inferencer.DetInferencer._init_pipeline~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","159","5","175","36","0","2","1","13","17","3","0","0","0","1","8","2","0","2","13","17","8","0","0","0","0","0","0","0","0","0","0"
"L8446","_get_transform_idx","det_inferencer.DetInferencer._get_transform_idx~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","177","5","186","17","0","4","4","6","10","3","0","0","0","0","4","3","0","4","6","10","4","0","0","0","0","0","0","0","0","0","0"
"L8452","_init_visualizer","det_inferencer.DetInferencer._init_visualizer~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","188","5","199","25","0","8","8","4","12","1","0","0","0","0","3","2","0","8","4","12","3","0","0","0","0","0","0","0","0","0","0"
"L8456","_inputs_to_list","det_inferencer.DetInferencer._inputs_to_list~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","201","5","234","27","0","20","17","12","34","5","0","0","0","0","8","2","0","20","12","34","8","0","0","0","0","0","0","0","0","0","0"
"L8460","preprocess","det_inferencer.DetInferencer.preprocess~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","236","5","261","53","0","23","23","3","26","1","0","0","0","1","2","4","0","23","3","26","2","0","0","0","0","0","0","0","0","0","0"
"L8466","_get_chunk_data","det_inferencer.DetInferencer._get_chunk_data~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","263","5","293","21","0","9","9","22","31","7","0","0","0","0","16","3","0","9","22","31","16","0","0","0","0","0","0","0","0","0","0"
"L8472","__call__","det_inferencer.DetInferencer.__call__~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","298","5","426","27","0","45","37","81","129","13","0","0","0","4","27","18","0","45","81","129","27","0","0","4","0","0","2","1","0","0","3"
"L8494","visualize","det_inferencer.DetInferencer.visualize~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","428","5","505","22","0","23","23","48","78","10","0","0","0","0","23","11","0","23","48","78","23","0","0","1","0","0","2","0","0","0","1"
"L8496","postprocess","det_inferencer.DetInferencer.postprocess~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","507","5","569","26","0","34","33","28","63","6","0","0","0","1","16","8","0","34","28","63","16","0","0","1","0","0","1","0","0","0","1"
"L8519","pred2dict","det_inferencer.DetInferencer.pred2dict~Fn","L8419","L103","/content/mmdetection/mmdet/apis/det_inferencer.py","573","5","652","21","0","18","15","57","80","16","0","0","0","0","41","3","0","18","57","80","41","0","0","1","0","0","1","1","0","0","0"
