"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L153","__post_init__","config.PackageFilterPolicy.__post_init__~Fn","L149","L103","/content/poetry/src/poetry/config/config.py","46","5","51","30","0","0","0","6","6","3","0","0","0","1","5","2","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L160","allows","config.PackageFilterPolicy.allows~Fn","L149","L103","/content/poetry/src/poetry/config/config.py","53","5","61","9","0","0","0","8","9","4","0","0","0","0","3","2","0","0","8","9","3","0","0","0","0","0","0","0","0","0","0"
"L163","is_reserved","config.PackageFilterPolicy.is_reserved~Fn","L149","L103","/content/poetry/src/poetry/config/config.py","63","5","65","52","0","0","0","3","3","1","0","0","0","0","1","2","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L158","normalize","config.PackageFilterPolicy.normalize~Fn","L149","L103","/content/poetry/src/poetry/config/config.py","67","5","81","9","0","0","0","14","15","4","0","0","0","2","5","2","0","0","14","15","5","0","0","0","0","0","0","0","0","0","0"
"L170","validator","config.PackageFilterPolicy.validator~Fn","L149","L103","/content/poetry/src/poetry/config/config.py","83","5","99","19","0","0","0","14","17","7","0","0","0","1","8","2","0","0","14","17","8","0","0","0","0","0","0","0","0","0","0"
"L180","__init__","config.Config.__init__~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","142","5","146","67","0","0","0","5","5","1","0","0","0","0","4","2","0","0","5","5","4","0","0","0","0","0","0","0","0","0","0"
"L184","config","config.Config.config~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","148","5","150","27","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L186","config_source","config.Config.config_source~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","152","5","154","34","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L188","auth_config_source","config.Config.auth_config_source~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","156","5","158","39","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L190","set_config_source","config.Config.set_config_source~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","160","5","163","19","0","0","0","3","4","1","0","0","0","0","2","2","0","0","3","4","2","0","0","0","0","0","0","0","0","0","0"
"L193","set_auth_config_source","config.Config.set_auth_config_source~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","165","5","168","19","0","0","0","3","4","1","0","0","0","0","2","2","0","0","3","4","2","0","0","0","0","0","0","0","0","0","0"
"L196","merge","config.Config.merge~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","170","5","173","41","0","0","0","3","4","1","0","0","0","0","2","2","0","0","3","4","2","0","0","0","0","0","0","0","0","0","0"
"L199","all","config.Config.all~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","175","5","193","32","0","0","0","2","3","1","0","0","0","1","1","1","0","0","15","19","12","0","0","0","0","0","0","0","0","0","0"
"L207","raw","config.Config.raw~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","195","5","196","27","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L209","_get_environment_repositories","config.Config._get_environment_repositories~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","198","5","210","27","0","0","0","11","13","3","0","0","0","0","7","0","0","0","11","13","7","0","0","0","0","0","0","0","0","0","0"
"L210","repository_cache_directory","config.Config.repository_cache_directory~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","212","5","214","82","0","0","0","3","3","1","0","0","0","1","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L212","artifacts_cache_directory","config.Config.artifacts_cache_directory~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","216","5","218","69","0","0","0","3","3","1","0","0","0","1","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L214","virtualenvs_path","config.Config.virtualenvs_path~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","220","5","225","38","0","0","0","6","6","2","0","0","0","1","4","1","0","0","6","6","4","0","0","0","0","0","0","0","0","0","0"
"L216","installer_max_workers","config.Config.installer_max_workers~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","227","5","241","65","0","4","0","10","15","4","0","0","0","1","7","1","0","4","10","15","7","0","0","0","0","0","0","0","0","0","0"
"L204","get","config.Config.get~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","243","5","275","34","0","8","3","19","33","9","0","0","0","3","18","3","0","8","19","33","18","0","0","0","0","0","0","0","0","0","0"
"L223","process","config.Config.process~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","277","5","291","61","0","0","0","4","6","2","0","0","0","0","3","2","0","2","10","15","8","0","0","0","0","0","0","0","0","0","0"
"L225","_get_normalizer","config.Config._get_normalizer~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","293","5","321","30","0","0","0","25","29","5","0","0","0","0","9","1","0","0","25","29","9","0","0","0","0","0","0","0","0","0","0"
"L232","create","config.Config.create~Fn","L175","L103","/content/poetry/src/poetry/config/config.py","323","5","346","30","0","2","0","16","24","5","0","0","0","0","14","2","0","2","16","24","14","0","0","0","0","0","0","0","0","0","0"
"L240","add_property","config_source.ConfigSource.add_property~Fn","L238","L103","/content/poetry/src/poetry/config/config_source.py","9","5","10","61","0","0","0","1","2","1","0","0","0","0","0","3","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0"
"L247","remove_property","config_source.ConfigSource.remove_property~Fn","L238","L103","/content/poetry/src/poetry/config/config_source.py","12","5","13","52","0","0","0","1","2","1","0","0","0","0","0","2","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0"
"L256","__init__","file_config_source.FileConfigSource.__init__~Fn","L254","L103","/content/poetry/src/poetry/config/file_config_source.py","22","5","23","25","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L261","name","file_config_source.FileConfigSource.name~Fn","L254","L103","/content/poetry/src/poetry/config/file_config_source.py","25","5","27","35","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
"L263","file","file_config_source.FileConfigSource.file~Fn","L254","L103","/content/poetry/src/poetry/config/file_config_source.py","29","5","31","25","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0"
