"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L148","__init__","admonition_inserter.AdmonitionInserter.__init__~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","76","5","94","11","0","1","0","18","19","1","0","0","0","0","2","1","0","1","18","19","2","0","0","0","0","0","0","0","0","0","0"
"L153","insert_admonitions","admonition_inserter.AdmonitionInserter.insert_admonitions~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","96","5","118","79","0","8","4","12","23","4","0","0","0","1","7","3","0","8","12","23","7","0","0","0","0","0","0","0","0","0","0"
"L160","_create_available_in","admonition_inserter.AdmonitionInserter._create_available_in~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","120","5","246","90","0","47","3","69","127","14","0","0","0","3","38","1","0","47","69","127","38","0","0","3","0","0","1","1","0","0","2"
"L169","_create_returned_in","admonition_inserter.AdmonitionInserter._create_returned_in~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","248","5","277","91","0","5","3","20","30","4","0","0","0","0","10","1","0","5","20","30","10","0","0","0","0","0","0","0","0","0","0"
"L172","_create_shortcuts","admonition_inserter.AdmonitionInserter._create_shortcuts~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","279","5","317","96","0","14","3","21","39","6","0","0","0","1","13","1","0","14","21","39","13","0","0","0","0","0","0","0","0","0","0"
"L176","_create_use_in","admonition_inserter.AdmonitionInserter._create_use_in~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","319","5","350","86","0","6","3","21","32","5","0","0","0","0","11","1","0","6","21","32","11","0","0","0","0","0","0","0","0","0","0"
"L158","_find_insert_pos_for_admonition","admonition_inserter.AdmonitionInserter._find_insert_pos_for_admonition~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","352","5","378","29","0","12","7","15","27","3","0","0","0","0","4","1","0","12","15","27","4","0","0","0","0","0","0","0","0","0","0"
"L163","_generate_admonitions","admonition_inserter.AdmonitionInserter._generate_admonitions~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","380","5","434","35","0","24","20","25","55","6","0","0","0","0","15","3","0","24","25","55","15","0","0","0","0","0","0","0","0","0","0"
"L165","_generate_class_name_for_link","admonition_inserter.AdmonitionInserter._generate_class_name_for_link~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","436","5","442","46","0","2","1","4","7","2","0","0","0","0","2","1","0","2","4","7","2","0","0","0","0","0","0","0","0","0","0"
"L187","_generate_link_to_method","admonition_inserter.AdmonitionInserter._generate_link_to_method~Fn","L139","L103","/content/python-telegram-bot/docs/auxil/admonition_inserter.py","444","5","447","81","0","1","1","2","4","1","0","0","0","0","1","3","0","1","2","4","1","0","0","0","0","0","0","0","0","0","0"
