"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L511","finish_request","vulnserver.ThreadingServer.finish_request~Fn","L501","L103","/content/sqlmap/extra/vulnserver/vulnserver.py","86","5","91","37","0","0","0","6","6","3","0","0","0","0","4","3","0","0","6","6","4","0","0","0","0","0","0","0","0","0","0"
"L517","do_REQUEST","vulnserver.ReqHandler.do_REQUEST~Fn","L515","L103","/content/sqlmap/extra/vulnserver/vulnserver.py","94","5","199","30","0","1","0","87","106","31","0","0","0","0","78","1","0","1","87","106","78","0","0","3","0","0","1","1","0","0","2"
"L521","do_GET","vulnserver.ReqHandler.do_GET~Fn","L515","L103","/content/sqlmap/extra/vulnserver/vulnserver.py","201","5","202","25","0","0","0","2","2","1","0","0","0","1","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L524","do_PUT","vulnserver.ReqHandler.do_PUT~Fn","L515","L103","/content/sqlmap/extra/vulnserver/vulnserver.py","204","5","205","22","0","0","0","2","2","1","0","0","0","1","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L528","do_HEAD","vulnserver.ReqHandler.do_HEAD~Fn","L515","L103","/content/sqlmap/extra/vulnserver/vulnserver.py","207","5","208","25","0","0","0","2","2","1","0","0","0","1","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L526","do_POST","vulnserver.ReqHandler.do_POST~Fn","L515","L103","/content/sqlmap/extra/vulnserver/vulnserver.py","210","5","235","25","0","0","0","22","26","7","0","0","0","1","20","1","0","0","22","26","20","0","0","0","0","0","0","0","0","0","0"
"L531","log_message","vulnserver.ReqHandler.log_message~Fn","L515","L103","/content/sqlmap/extra/vulnserver/vulnserver.py","237","5","238","14","0","0","0","2","2","1","0","0","0","0","1","3","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L647","payloadDirect","agent.Agent.payloadDirect~Fn","L644","L103","/content/sqlmap/lib/core/agent.py","68","5","87","20","0","1","0","16","20","8","0","0","0","3","15","2","0","1","16","20","15","0","0","0","0","0","0","0","0","0","0"
"L658","payload","agent.Agent.payload~Fn","L644","L103","/content/sqlmap/lib/core/agent.py","89","5","260","21","0","6","4","122","153","61","0","0","0","4","111","6","0","6","139","172","125","0","0","7","0","0","1","1","0","0","6"
"L675","prefixQuery","agent.Agent.prefixQuery~Fn","L644","L103","/content/sqlmap/lib/core/agent.py","262","5","308","20","0","12","5","26","47","27","0","0","0","2","24","5","0","12","26","47","24","0","0","1","0","0","1","1","0","0","0"
