"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CD","CLOC","DLOC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L568","__init__","conftest.AsyncSubprocess.__init__~Fn","L565","L103","/content/streamlit/e2e_playwright/conftest.py","79","5","84","32","0","0","0","6","6","2","0","0","0","0","5","4","0","0","6","6","5","0","0","0","0","0","0","0","0","0","0"
"L575","terminate","conftest.AsyncSubprocess.terminate~Fn","L565","L103","/content/streamlit/e2e_playwright/conftest.py","86","5","101","21","0","2","1","12","16","3","0","0","0","0","11","1","0","2","12","16","11","0","0","0","0","0","0","0","0","0","0"
"L578","__enter__","conftest.AsyncSubprocess.__enter__~Fn","L565","L103","/content/streamlit/e2e_playwright/conftest.py","103","5","105","19","0","0","0","3","3","1","0","0","0","1","2","1","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L580","start","conftest.AsyncSubprocess.start~Fn","L565","L103","/content/streamlit/e2e_playwright/conftest.py","107","5","121","9","0","4","0","11","15","1","0","0","0","0","3","1","0","4","11","15","3","0","0","0","0","0","0","0","0","0","0"
"L583","__exit__","conftest.AsyncSubprocess.__exit__~Fn","L565","L103","/content/streamlit/e2e_playwright/conftest.py","123","5","129","36","0","0","0","7","7","3","0","0","0","0","6","4","0","0","7","7","6","0","0","0","0","0","0","0","0","0","0"
"L681","__call__","conftest.ImageCompareFunction.__call__~Fn","L679","L103","/content/streamlit/e2e_playwright/conftest.py","480","5","504","11","0","16","16","9","25","1","0","0","0","0","0","6","0","16","9","25","0","0","0","1","0","0","0","0","0","0","1"
"L1686","__str__","data_mocks.TestObject.__str__~Fn","L1684","L103","/content/streamlit/e2e_playwright/shared/data_mocks.py","200","5","201","27","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L3906","__init__","st_help.FooWithLongDocs.__init__~Fn","L3903","L103","/content/streamlit/e2e_playwright/st_help.py","71","5","72","27","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L3910","my_func_1","st_help.FooWithLongDocs.my_func_1~Fn","L3903","L103","/content/streamlit/e2e_playwright/st_help.py","74","5","75","24","0","1","1","1","2","1","0","0","0","0","0","3","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0"
"L3915","my_func_2","st_help.FooWithLongDocs.my_func_2~Fn","L3903","L103","/content/streamlit/e2e_playwright/st_help.py","77","5","79","12","0","1","0","2","3","1","0","0","0","0","1","1","0","1","2","3","1","0","0","0","0","0","0","0","0","0","0"
"L4094","__init__","st_magic.MyClass.__init__~Fn","L4091","L103","/content/streamlit/e2e_playwright/st_magic.py","151","5","152","41","0","1","1","1","2","1","0","0","0","0","0","1","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0"
"L5526","_repr_html_","st_write.ClassWithReprHtml._repr_html_~Fn","L5524","L103","/content/streamlit/e2e_playwright/st_write.py","45","5","46","58","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L5532","__str__","st_write.SomeObject1.__str__~Fn","L5530","L103","/content/streamlit/e2e_playwright/st_write.py","62","5","63","37","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L5538","__str__","st_write.SomeObject2.__str__~Fn","L5536","L103","/content/streamlit/e2e_playwright/st_write.py","70","5","71","53","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L6310","run","setup.VerifyVersionCommand.run~Fn","L6306","L103","/content/streamlit/lib/setup.py","86","5","91","26","0","0","0","5","6","2","0","0","0","0","4","1","0","0","5","6","4","0","0","0","0","0","0","0","0","0","0"
"L6497","__init__","local_component_registry.LocalComponentRegistry.__init__~Fn","L6495","L103","/content/streamlit/lib/streamlit/components/lib/local_component_registry.py","33","5","35","37","0","0","0","3","3","1","0","0","0","0","2","1","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L6501","__repr__","local_component_registry.LocalComponentRegistry.__repr__~Fn","L6495","L103","/content/streamlit/lib/streamlit/components/lib/local_component_registry.py","37","5","38","31","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L6503","register_component","local_component_registry.LocalComponentRegistry.register_component~Fn","L6495","L103","/content/streamlit/lib/streamlit/components/lib/local_component_registry.py","40","5","65","59","0","8","7","14","26","5","0","0","0","0","9","2","0","8","14","26","9","0","0","0","0","0","0","0","0","0","0"
"L6507","get_component_path","local_component_registry.LocalComponentRegistry.get_component_path~Fn","L6495","L103","/content/streamlit/lib/streamlit/components/lib/local_component_registry.py","67","5","74","67","0","5","5","3","8","2","0","0","0","0","2","2","0","5","3","8","2","0","0","0","0","0","0","0","0","0","0"
"L6511","get_module_name","local_component_registry.LocalComponentRegistry.get_module_name~Fn","L6495","L103","/content/streamlit/lib/streamlit/components/lib/local_component_registry.py","76","5","78","71","0","0","0","3","3","2","0","0","0","0","2","2","0","0","3","3","2","0","0","0","0","0","0","0","0","0","0"
"L6514","get_component","local_component_registry.LocalComponentRegistry.get_component~Fn","L6495","L103","/content/streamlit/lib/streamlit/components/lib/local_component_registry.py","80","5","81","47","0","0","0","2","2","1","0","0","0","0","1","2","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L6517","get_components","local_component_registry.LocalComponentRegistry.get_components~Fn","L6495","L103","/content/streamlit/lib/streamlit/components/lib/local_component_registry.py","83","5","84","46","0","0","0","2","2","1","0","0","0","0","1","1","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0"
"L6529","register_component","base_component_registry.BaseComponentRegistry.register_component~Fn","L6526","L103","/content/streamlit/lib/streamlit/components/types/base_component_registry.py","27","5","36","33","0","7","7","3","10","1","0","0","0","0","1","2","0","7","3","10","1","0","0","0","0","0","0","0","0","0","0"
"L6535","get_component_path","base_component_registry.BaseComponentRegistry.get_component_path~Fn","L6526","L103","/content/streamlit/lib/streamlit/components/types/base_component_registry.py","38","5","54","33","0","14","14","3","17","1","0","0","0","0","1","2","0","14","3","17","1","0","0","0","0","0","0","0","0","0","0"
"L6539","get_module_name","base_component_registry.BaseComponentRegistry.get_module_name~Fn","L6526","L103","/content/streamlit/lib/streamlit/components/types/base_component_registry.py","56","5","71","33","0","13","13","3","16","1","0","0","0","0","1","2","0","13","3","16","1","0","0","0","0","0","0","0","0","0","0"
"L6543","get_component","base_component_registry.BaseComponentRegistry.get_component~Fn","L6526","L103","/content/streamlit/lib/streamlit/components/types/base_component_registry.py","73","5","88","33","0","13","13","3","16","1","0","0","0","0","1","2","0","13","3","16","1","0","0","0","0","0","0","0","0","0","0"
